index,x_m,y_m,yaw_deg,direction,mode,drive_level,event
0,0.000,-0.000,0.000,1,1,2.00,NONE
1,0.223,0.000,4.168,1,1,2.00,NONE
2,0.435,0.015,-40.422,1,1,2.00,NONE
3,0.580,-0.109,-96.893,1,1,2.00,NONE
4,0.556,-0.308,-71.816,1,1,2.00,NONE
5,0.635,-0.548,-65.697,1,1,2.00,NONE
6,0.698,-0.687,129.892,1,1,2.00,NONE
7,0.567,-0.530,-175.951,1,1,2.00,NONE
8,0.319,-0.548,157.101,1,1,2.00,NONE
9,0.159,-0.480,-170.421,1,1,2.00,NONE
10,-0.007,-0.508,108.775,1,1,2.00,NONE
11,-0.057,-0.361,160.382,1,1,2.00,NONE
12,-0.206,-0.308,142.492,1,1,2.00,NONE
13,-0.329,-0.213,-133.395,1,1,2.00,NONE
14,-0.467,-0.359,143.566,1,1,2.00,NONE
15,-0.625,-0.243,-164.997,1,1,2.00,NONE
16,-0.827,-0.297,-54.313,1,1,2.00,NONE
17,-0.729,-0.433,29.499,1,1,2.00,NONE
18,-0.584,-0.351,-7.813,1,1,2.00,NONE
19,-0.316,-0.387,-6.845,1,1,2.00,NONE
20,-0.153,-0.407,-15.385,1,1,2.00,NONE
21,0.008,-0.451,-57.874,1,1,2.00,NONE
22,0.136,-0.656,-68.293,1,1,2.00,NONE
23,0.228,-0.886,-51.422,1,1,2.00,NONE
24,0.413,-1.119,-54.313,1,1,2.00,NONE
25,0.511,-1.255,-96.061,1,1,2.00,NONE
26,0.484,-1.503,-28.121,1,1,2.00,NONE
27,0.666,-1.600,-132.020,1,1,2.00,NONE
28,0.490,-1.795,-61.409,1,1,2.00,NONE
29,0.606,-2.008,-32.379,1,1,2.00,NONE
30,0.742,-2.094,8.743,1,1,2.00,NONE
31,0.943,-2.064,7.443,1,1,2.00,NONE
32,1.215,-2.028,-19.618,1,1,2.00,NONE
33,1.364,-2.081,19.819,1,1,2.00,NONE
34,1.557,-2.012,83.509,1,1,2.00,NONE
35,1.580,-1.812,4.058,1,1,2.00,NONE
36,1.756,-1.799,5.888,1,1,2.00,NONE
37,2.017,-1.772,-59.445,1,1,2.00,NONE
38,2.102,-1.917,-115.761,1,1,2.00,NONE
39,2.035,-2.056,-127.121,1,1,2.00,NONE
40,1.920,-2.207,147.951,1,1,2.00,NONE
41,1.784,-2.122,9.274,1,1,2.00,NONE
42,1.950,-2.095,130.820,1,1,2.00,NONE
43,1.841,-1.968,113.248,1,1,2.00,NONE
44,1.758,-1.776,125.687,1,1,2.00,NONE
45,1.617,-1.579,108.421,1,1,2.00,NONE
46,1.568,-1.432,91.997,1,1,2.00,NONE
47,1.559,-1.187,-68.276,1,1,2.00,NONE
48,1.630,-1.364,-33.705,1,1,2.00,NONE
49,1.845,-1.508,-49.180,1,1,2.00,NONE
50,1.955,-1.635,125.687,1,1,2.00,NONE
51,1.846,-1.484,154.274,1,1,2.00,NONE
52,1.675,-1.401,156.153,1,1,2.00,NONE
53,1.458,-1.305,151.757,1,1,2.00,NONE
54,1.276,-1.207,168.854,1,1,2.00,NONE
55,1.102,-1.173,113.040,1,1,2.00,NONE
56,1.020,-0.980,46.377,1,1,2.00,NONE
57,1.158,-0.835,61.795,1,1,2.00,NONE
58,1.237,-0.687,115.111,1,1,2.00,NONE
59,1.133,-0.465,131.455,1,1,2.00,NONE
