index,x_m,y_m,yaw_deg,direction,mode,drive_level,event
0,0.000,0.000,0.000,1,1,2.00,NONE
1,0.160,0.109,-38.628,1,1,2.00,NONE
2,0.344,0.183,-87.859,1,1,2.00,NONE
3,0.541,0.189,-116.749,1,1,2.00,NONE
4,0.619,0.024,-129.856,1,1,2.00,NONE
5,0.515,-0.143,-130.113,1,1,2.00,NONE
6,0.380,-0.290,-121.728,1,1,2.00,NONE
7,0.235,-0.426,-109.338,1,1,2.00,NONE
8,0.112,-0.583,0.824,1,1,2.00,NONE
9,0.002,-0.747,35.711,1,1,2.00,NONE
10,-0.014,-0.920,43.105,1,1,2.00,NONE
11,0.108,-0.762,34.314,1,1,2.00,NONE
12,0.224,-0.599,22.510,1,1,2.00,NONE
13,0.375,-0.472,13.534,1,1,2.00,NONE
14,0.555,-0.386,7.585,1,1,2.00,NONE
15,0.745,-0.325,1.147,1,1,2.00,NONE
16,0.942,-0.300,-2.875,1,1,2.00,NONE
17,1.141,-0.287,-1.798,1,1,2.00,NONE
18,1.340,-0.280,5.633,1,1,2.00,NONE
19,1.538,-0.309,21.481,1,1,2.00,NONE
20,1.735,-0.340,42.423,1,1,2.00,NONE
21,1.930,-0.315,61.585,1,1,2.00,NONE
22,2.097,-0.211,74.629,1,1,2.00,NONE
23,2.214,-0.051,81.112,1,1,2.00,NONE
24,2.271,0.139,72.865,1,1,2.00,NONE
25,2.286,0.338,60.728,1,1,2.00,NONE
26,2.304,0.537,89.082,1,1,2.00,NONE
27,2.335,0.735,-176.552,1,1,2.00,NONE
28,2.478,0.852,-170.802,1,1,2.00,NONE
29,2.571,0.738,177.287,1,1,2.00,NONE
30,2.376,0.707,-175.060,1,1,2.00,NONE
31,2.177,0.720,-164.239,1,1,2.00,NONE
32,1.977,0.722,-159.334,1,1,2.00,NONE
33,1.898,0.823,-154.177,1,1,2.00,NONE
34,1.906,0.809,-156.054,1,1,2.00,NONE
35,1.750,0.683,-169.136,1,1,2.00,NONE
36,1.590,0.563,179.362,1,1,2.00,NONE
37,1.409,0.482,173.880,1,1,2.00,NONE
38,1.211,0.498,177.798,1,1,2.00,NONE
39,1.016,0.541,-174.983,1,1,2.00,NONE
40,0.818,0.572,-168.162,1,1,2.00,NONE
