index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event
0,35.5446746667,129.2561048333,0.000,0.000,1,1,2.00,NONE
1,35.5446750000,129.2561048333,0.000,0.037,1,1,1.00,NONE
2,35.5446743333,129.2561033333,-0.136,-0.037,1,1,1.00,NONE
3,35.5446736667,129.2561018333,-0.272,-0.111,1,1,1.00,NONE
4,35.5446730000,129.2561003333,-0.408,-0.186,1,1,1.00,NONE
5,35.5446725000,129.2560986667,-0.559,-0.241,1,1,1.00,NONE
6,35.5446715000,129.2560968333,-0.725,-0.353,1,1,1.00,NONE
7,35.5446710000,129.2560951667,-0.876,-0.408,1,1,1.00,NONE
8,35.5446698333,129.2560940000,-0.981,-0.538,1,1,1.00,NONE
9,35.5446691667,129.2560925000,-1.117,-0.612,1,1,1.00,NONE
10,35.5446683333,129.2560910000,-1.253,-0.705,1,1,1.00,NONE
11,35.5446678333,129.2560893333,-1.404,-0.761,1,1,1.00,NONE
12,35.5446671667,129.2560876667,-1.555,-0.835,1,1,1.00,NONE
13,35.5446663333,129.2560861667,-1.691,-0.928,1,1,1.00,NONE
14,35.5446656667,129.2560846667,-1.827,-1.002,1,1,1.00,NONE
15,35.5446648333,129.2560830000,-1.978,-1.095,1,1,1.00,NONE
16,35.5446638333,129.2560813333,-2.129,-1.206,1,1,1.00,NONE
17,35.5446635000,129.2560796667,-2.280,-1.243,1,1,1.00,NONE
18,35.5446630000,129.2560776667,-2.461,-1.299,1,1,1.00,NONE
19,35.5446628333,129.2560758333,-2.627,-1.317,1,1,1.00,NONE
20,35.5446618333,129.2560746667,-2.732,-1.429,1,1,1.00,NONE
21,35.5446615000,129.2560725000,-2.929,-1.466,1,1,1.00,NONE
22,35.5446613333,129.2560708333,-3.080,-1.484,1,1,1.00,NONE
23,35.5446608333,129.2560691667,-3.231,-1.540,1,1,1.00,NONE
24,35.5446601667,129.2560675000,-3.382,-1.614,1,1,1.00,NONE
25,35.5446593333,129.2560656667,-3.548,-1.707,1,1,1.00,NONE
26,35.5446588333,129.2560635000,-3.744,-1.763,1,1,1.00,NONE
