	index,latitude,longitude,x_m,y_m,direction,mode,drive_level,event
0,35.5446710000,129.2560535000,0.000,0.000,1,1,2.00,NONE
1,35.5446721667,129.2560515000,-0.181,0.130,1,1,2.00,NONE
2,35.5446731667,129.2560495000,-0.362,0.241,1,1,2.00,NONE
3,35.5446748333,129.2560490000,-0.408,0.427,1,1,2.00,NONE
4,35.5446761667,129.2560505000,-0.272,0.575,1,1,2.00,NONE
5,35.5446783333,129.2560513333,-0.196,0.816,1,1,2.00,NONE
6,35.5446796667,129.2560516667,-0.166,0.965,1,1,2.00,NONE
7,35.5446778333,129.2560518333,-0.151,0.761,1,1,2.00,NONE
8,35.5446766667,129.2560541667,0.060,0.631,1,1,2.00,NONE
9,35.5446753333,129.2560551667,0.151,0.482,1,1,2.00,NONE
10,35.5446746667,129.2560568333,0.302,0.408,1,1,2.00,NONE
11,35.5446733333,129.2560563333,0.257,0.260,1,1,2.00,NONE
12,35.5446721667,129.2560573333,0.347,0.130,1,1,2.00,NONE
13,35.5446708333,129.2560578333,0.392,-0.019,1,1,2.00,NONE
14,35.5446711667,129.2560600000,0.589,0.019,1,1,2.00,NONE
15,35.5446695000,129.2560606667,0.649,-0.167,1,1,2.00,NONE
16,35.5446688333,129.2560628333,0.845,-0.241,1,1,2.00,NONE
17,35.5446703333,129.2560628333,0.845,-0.074,1,1,2.00,NONE
18,35.5446705000,129.2560610000,0.679,-0.056,1,1,2.00,NONE
19,35.5446721667,129.2560588333,0.483,0.130,1,1,2.00,NONE
20,35.5446731667,129.2560575000,0.362,0.241,1,1,2.00,NONE
21,35.5446743333,129.2560563333,0.257,0.371,1,1,2.00,NONE
22,35.5446765000,129.2560565000,0.272,0.612,1,1,2.00,NONE
23,35.5446786667,129.2560571667,0.332,0.853,1,1,2.00,NONE
24,35.5446813333,129.2560570000,0.317,1.150,1,1,2.00,NONE
25,35.5446828333,129.2560570000,0.317,1.317,1,1,2.00,NONE
26,35.5446845000,129.2560588333,0.483,1.503,1,1,2.00,NONE
27,35.5446861667,129.2560578333,0.392,1.688,1,1,2.00,NONE
28,35.5446866667,129.2560606667,0.649,1.744,1,1,2.00,NONE
29,35.5446888333,129.2560610000,0.679,1.985,1,1,2.00,NONE
30,35.5446901667,129.2560603333,0.619,2.134,1,1,2.00,NONE
31,35.5446910000,129.2560583333,0.438,2.226,1,1,2.00,NONE
