index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2890168333,127.1075088333,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2890158333,127.1075116667,0.251,-0.111,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2890148333,127.1075146667,0.517,-0.223,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2890141667,127.1075176667,0.782,-0.297,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2890133333,127.1075206667,1.048,-0.390,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2890126667,127.1075236667,1.314,-0.464,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2890118333,127.1075266667,1.579,-0.557,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2890108333,127.1075295000,1.830,-0.668,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2890101667,127.1075326667,2.111,-0.742,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2890095000,127.1075355000,2.362,-0.816,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2890091667,127.1075371667,2.509,-0.853,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2890086667,127.1075403333,2.790,-0.909,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2890080000,127.1075431667,3.041,-0.983,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2890070000,127.1075461667,3.306,-1.095,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2890063333,127.1075491667,3.572,-1.169,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2890056667,127.1075520000,3.823,-1.243,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2890050000,127.1075550000,4.089,-1.317,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2890045000,127.1075576667,4.325,-1.373,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2890035000,127.1075603333,4.561,-1.484,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2890026667,127.1075631667,4.812,-1.577,0.000,0.000,0.000,1,1,2.00,0,NONE
