index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2889401667,127.1076421667,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2889411667,127.1076408333,-0.118,0.111,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2889415000,127.1076386667,-0.310,0.148,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2889418333,127.1076361667,-0.531,0.186,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2889423333,127.1076345000,-0.679,0.241,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2889430000,127.1076325000,-0.856,0.315,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2889438333,127.1076303333,-1.048,0.408,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2889443333,127.1076281667,-1.240,0.464,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2889450000,127.1076256667,-1.461,0.538,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2889455000,127.1076230000,-1.697,0.594,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2889463333,127.1076208333,-1.889,0.686,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2889470000,127.1076185000,-2.096,0.761,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2889475000,127.1076168333,-2.244,0.816,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2889483333,127.1076141667,-2.480,0.909,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2889488333,127.1076111667,-2.746,0.965,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2889493333,127.1076081667,-3.011,1.020,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2889501667,127.1076053333,-3.262,1.113,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2889510000,127.1076025000,-3.513,1.206,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2889518333,127.1075995000,-3.779,1.299,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2889525000,127.1075966667,-4.030,1.373,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2889531667,127.1075938333,-4.281,1.447,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2889538333,127.1075908333,-4.546,1.521,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2889546667,127.1075881667,-4.783,1.614,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2889551667,127.1075865000,-4.930,1.670,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2889558333,127.1075836667,-5.181,1.744,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2889571667,127.1075811667,-5.402,1.892,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2889580000,127.1075783333,-5.653,1.985,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2889588333,127.1075755000,-5.904,2.078,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2889596667,127.1075728333,-6.141,2.171,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2889606667,127.1075700000,-6.391,2.282,0.000,0.000,0.000,1,1,2.00,0,NONE
