index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2887141667,127.1073160000,0.015,-0.019,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2887151667,127.1073148333,-0.089,0.093,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2887151667,127.1073125000,-0.295,0.093,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2887151667,127.1073105000,-0.472,0.093,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2887160000,127.1073085000,-0.649,0.186,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2887166667,127.1073068333,-0.797,0.260,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2887173333,127.1073053333,-0.930,0.334,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2887178333,127.1073035000,-1.092,0.390,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2887183333,127.1073015000,-1.269,0.445,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2887188333,127.1072993333,-1.461,0.501,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2887195000,127.1072975000,-1.624,0.575,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2887205000,127.1072953333,-1.816,0.686,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2887213333,127.1072933333,-1.993,0.779,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2887221667,127.1072911667,-2.185,0.872,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2887228333,127.1072890000,-2.377,0.946,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2887236667,127.1072870000,-2.554,1.039,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2887245000,127.1072850000,-2.731,1.132,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2887256667,127.1072831667,-2.893,1.262,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2887268333,127.1072811667,-3.070,1.392,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2887280000,127.1072793333,-3.233,1.521,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2887293333,127.1072773333,-3.410,1.670,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2887306667,127.1072756667,-3.557,1.818,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2887320000,127.1072741667,-3.690,1.967,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2887336667,127.1072726667,-3.823,2.152,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2887353333,127.1072711667,-3.956,2.338,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2887366667,127.1072698333,-4.074,2.486,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2887383333,127.1072681667,-4.222,2.672,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2887400000,127.1072670000,-4.325,2.857,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2887416667,127.1072660000,-4.414,3.043,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2887438333,127.1072650000,-4.502,3.284,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2887456667,127.1072641667,-4.576,3.488,0.000,0.000,0.000,1,1,2.00,0,NONE
