index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2887086667,127.1073150000,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2887090000,127.1073126667,-0.207,0.037,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2887098333,127.1073108333,-0.369,0.130,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2887106667,127.1073086667,-0.561,0.223,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2887110000,127.1073068333,-0.723,0.260,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2887115000,127.1073046667,-0.915,0.315,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2887118333,127.1073028333,-1.078,0.353,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2887126667,127.1073008333,-1.255,0.445,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2887135000,127.1072986667,-1.447,0.538,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2887141667,127.1072965000,-1.638,0.612,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2887150000,127.1072945000,-1.816,0.705,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2887158333,127.1072920000,-2.037,0.798,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2887166667,127.1072900000,-2.214,0.891,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2887176667,127.1072876667,-2.421,1.002,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2887190000,127.1072855000,-2.613,1.150,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2887200000,127.1072835000,-2.790,1.262,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2887213333,127.1072813333,-2.982,1.410,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2887225000,127.1072791667,-3.174,1.540,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2887240000,127.1072773333,-3.336,1.707,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2887256667,127.1072756667,-3.484,1.892,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2887273333,127.1072738333,-3.646,2.078,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2887290000,127.1072723333,-3.779,2.264,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2887308333,127.1072705000,-3.941,2.468,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2887326667,127.1072690000,-4.074,2.672,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2887346667,127.1072675000,-4.207,2.894,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2887366667,127.1072663333,-4.310,3.117,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2887386667,127.1072650000,-4.428,3.340,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2887408333,127.1072638333,-4.532,3.581,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2887428333,127.1072625000,-4.650,3.803,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2887450000,127.1072616667,-4.723,4.045,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2887473333,127.1072610000,-4.783,4.304,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2887496667,127.1072606667,-4.812,4.564,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2887518333,127.1072601667,-4.856,4.805,0.000,0.000,0.000,1,1,2.00,0,NONE
33,37.2887541667,127.1072596667,-4.901,5.065,0.000,0.000,0.000,1,1,2.00,0,NONE
34,37.2887563333,127.1072595000,-4.915,5.306,0.000,0.000,0.000,1,1,2.00,0,NONE
35,37.2887586667,127.1072595000,-4.915,5.566,0.000,0.000,0.000,1,1,2.00,0,NONE
36,37.2887610000,127.1072595000,-4.915,5.826,0.000,0.000,0.000,1,1,2.00,0,NONE
37,37.2887631667,127.1072596667,-4.901,6.067,0.000,0.000,0.000,1,1,2.00,0,NONE
38,37.2887655000,127.1072596667,-4.901,6.327,0.000,0.000,0.000,1,1,2.00,0,NONE
39,37.2887678333,127.1072598333,-4.886,6.586,0.000,0.000,0.000,1,1,2.00,0,NONE
40,37.2887700000,127.1072605000,-4.827,6.828,0.000,0.000,0.000,1,1,2.00,0,NONE
41,37.2887721667,127.1072610000,-4.783,7.069,0.000,0.000,0.000,1,1,2.00,0,NONE
42,37.2887745000,127.1072618333,-4.709,7.329,0.000,0.000,0.000,1,1,2.00,0,NONE
43,37.2887766667,127.1072621667,-4.679,7.570,0.000,0.000,0.000,1,1,2.00,0,NONE
44,37.2887788333,127.1072626667,-4.635,7.811,0.000,0.000,0.000,1,1,2.00,0,NONE
45,37.2887811667,127.1072633333,-4.576,8.071,0.000,0.000,0.000,1,1,2.00,0,NONE
46,37.2887831667,127.1072640000,-4.517,8.293,0.000,0.000,0.000,1,1,2.00,0,NONE
47,37.2887855000,127.1072648333,-4.443,8.553,0.000,0.000,0.000,1,1,2.00,0,NONE
48,37.2887876667,127.1072655000,-4.384,8.794,0.000,0.000,0.000,1,1,2.00,0,NONE
