index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2887086667,127.1073051667,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2887095000,127.1073038333,-0.118,0.093,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2887100000,127.1073016667,-0.310,0.148,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2887103333,127.1073000000,-0.458,0.186,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2887108333,127.1072983333,-0.605,0.241,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2887118333,127.1072960000,-0.812,0.353,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2887126667,127.1072940000,-0.989,0.445,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2887135000,127.1072920000,-1.166,0.538,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2887140000,127.1072900000,-1.343,0.594,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2887146667,127.1072878333,-1.535,0.668,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2887155000,127.1072855000,-1.742,0.761,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2887161667,127.1072833333,-1.934,0.835,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2887171667,127.1072811667,-2.126,0.946,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2887180000,127.1072786667,-2.347,1.039,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2887186667,127.1072763333,-2.554,1.113,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2887193333,127.1072740000,-2.760,1.187,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2887201667,127.1072720000,-2.937,1.280,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2887213333,127.1072701667,-3.100,1.410,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2887223333,127.1072683333,-3.262,1.521,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2887238333,127.1072663333,-3.439,1.688,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2887251667,127.1072646667,-3.587,1.837,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2887265000,127.1072628333,-3.749,1.985,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2887281667,127.1072615000,-3.867,2.171,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2887298333,127.1072603333,-3.971,2.356,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2887318333,127.1072591667,-4.074,2.579,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2887335000,127.1072578333,-4.192,2.764,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2887353333,127.1072566667,-4.295,2.969,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2887371667,127.1072556667,-4.384,3.173,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2887391667,127.1072548333,-4.458,3.395,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2887411667,127.1072543333,-4.502,3.618,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2887433333,127.1072538333,-4.546,3.859,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2887451667,127.1072533333,-4.591,4.063,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2887475000,127.1072530000,-4.620,4.323,0.000,0.000,0.000,1,1,2.00,0,NONE
33,37.2887495000,127.1072530000,-4.620,4.546,0.000,0.000,0.000,1,1,2.00,0,NONE
34,37.2887516667,127.1072531667,-4.605,4.787,0.000,0.000,0.000,1,1,2.00,0,NONE
35,37.2887540000,127.1072535000,-4.576,5.047,0.000,0.000,0.000,1,1,2.00,0,NONE
36,37.2887563333,127.1072538333,-4.546,5.306,0.000,0.000,0.000,1,1,2.00,0,NONE
37,37.2887585000,127.1072540000,-4.532,5.547,0.000,0.000,0.000,1,1,2.00,0,NONE
38,37.2887608333,127.1072543333,-4.502,5.807,0.000,0.000,0.000,1,1,2.00,0,NONE
39,37.2887630000,127.1072548333,-4.458,6.048,0.000,0.000,0.000,1,1,2.00,0,NONE
40,37.2887651667,127.1072553333,-4.414,6.290,0.000,0.000,0.000,1,1,2.00,0,NONE
41,37.2887675000,127.1072560000,-4.354,6.549,0.000,0.000,0.000,1,1,2.00,0,NONE
42,37.2887696667,127.1072565000,-4.310,6.791,0.000,0.000,0.000,1,1,2.00,0,NONE
43,37.2887718333,127.1072570000,-4.266,7.032,0.000,0.000,0.000,1,1,2.00,0,NONE
44,37.2887740000,127.1072573333,-4.236,7.273,0.000,0.000,0.000,1,1,2.00,0,NONE
45,37.2887760000,127.1072580000,-4.177,7.496,0.000,0.000,0.000,1,1,2.00,0,NONE
46,37.2887781667,127.1072588333,-4.104,7.737,0.000,0.000,0.000,1,1,2.00,0,NONE
47,37.2887801667,127.1072596667,-4.030,7.959,0.000,0.000,0.000,1,1,2.00,0,NONE
48,37.2887823333,127.1072603333,-3.971,8.201,0.000,0.000,0.000,1,1,2.00,0,NONE
49,37.2887843333,127.1072610000,-3.912,8.423,0.000,0.000,0.000,1,1,2.00,0,NONE
50,37.2887865000,127.1072620000,-3.823,8.664,0.000,0.000,0.000,1,1,2.00,0,NONE
51,37.2887883333,127.1072630000,-3.735,8.868,0.000,0.000,0.000,1,1,2.00,0,NONE
52,37.2887903333,127.1072640000,-3.646,9.091,0.000,0.000,0.000,1,1,2.00,0,NONE
53,37.2887925000,127.1072648333,-3.572,9.332,0.000,0.000,0.000,1,1,2.00,0,NONE
54,37.2887946667,127.1072656667,-3.498,9.574,0.000,0.000,0.000,1,1,2.00,0,NONE
55,37.2887966667,127.1072666667,-3.410,9.796,0.000,0.000,0.000,1,1,2.00,0,NONE
56,37.2887986667,127.1072676667,-3.321,10.019,0.000,0.000,0.000,1,1,2.00,0,NONE
57,37.2888006667,127.1072690000,-3.203,10.241,0.000,0.000,0.000,1,1,2.00,0,NONE
58,37.2888028333,127.1072701667,-3.100,10.483,0.000,0.000,0.000,1,1,2.00,0,NONE
59,37.2888048333,127.1072713333,-2.996,10.705,0.000,0.000,0.000,1,1,2.00,0,NONE
60,37.2888070000,127.1072723333,-2.908,10.946,0.000,0.000,0.000,1,1,2.00,0,NONE
61,37.2888091667,127.1072735000,-2.805,11.188,0.000,0.000,0.000,1,1,2.00,0,NONE
62,37.2888111667,127.1072748333,-2.686,11.410,0.000,0.000,0.000,1,1,2.00,0,NONE
63,37.2888133333,127.1072760000,-2.583,11.651,0.000,0.000,0.000,1,1,2.00,0,NONE
64,37.2888153333,127.1072771667,-2.480,11.874,0.000,0.000,0.000,1,1,2.00,0,NONE
65,37.2888175000,127.1072781667,-2.391,12.115,0.000,0.000,0.000,1,1,2.00,0,NONE
66,37.2888196667,127.1072795000,-2.273,12.357,0.000,0.000,0.000,1,1,2.00,0,NONE
67,37.2888216667,127.1072806667,-2.170,12.579,0.000,0.000,0.000,1,1,2.00,0,NONE
68,37.2888236667,127.1072821667,-2.037,12.802,0.000,0.000,0.000,1,1,2.00,0,NONE
69,37.2888256667,127.1072836667,-1.904,13.024,0.000,0.000,0.000,1,1,2.00,0,NONE
70,37.2888276667,127.1072850000,-1.786,13.247,0.000,0.000,0.000,1,1,2.00,0,NONE
71,37.2888296667,127.1072863333,-1.668,13.470,0.000,0.000,0.000,1,1,2.00,0,NONE
72,37.2888315000,127.1072881667,-1.506,13.674,0.000,0.000,0.000,1,1,2.00,0,NONE
73,37.2888333333,127.1072898333,-1.358,13.878,0.000,0.000,0.000,1,1,2.00,0,NONE
74,37.2888350000,127.1072916667,-1.196,14.063,0.000,0.000,0.000,1,1,2.00,0,NONE
75,37.2888368333,127.1072931667,-1.063,14.268,0.000,0.000,0.000,1,1,2.00,0,NONE
76,37.2888386667,127.1072948333,-0.915,14.472,0.000,0.000,0.000,1,1,2.00,0,NONE
77,37.2888403333,127.1072968333,-0.738,14.657,0.000,0.000,0.000,1,1,2.00,0,NONE
78,37.2888416667,127.1072990000,-0.546,14.806,0.000,0.000,0.000,1,1,2.00,0,NONE
79,37.2888430000,127.1073011667,-0.354,14.954,0.000,0.000,0.000,1,1,2.00,0,NONE
80,37.2888441667,127.1073033333,-0.162,15.084,0.000,0.000,0.000,1,1,2.00,0,NONE
81,37.2888455000,127.1073055000,0.030,15.232,0.000,0.000,0.000,1,1,2.00,0,NONE
82,37.2888470000,127.1073076667,0.221,15.399,0.000,0.000,0.000,1,1,2.00,0,NONE
83,37.2888481667,127.1073098333,0.413,15.529,0.000,0.000,0.000,1,1,2.00,0,NONE
84,37.2888493333,127.1073121667,0.620,15.659,0.000,0.000,0.000,1,1,2.00,0,NONE
85,37.2888505000,127.1073148333,0.856,15.789,0.000,0.000,0.000,1,1,2.00,0,NONE
86,37.2888515000,127.1073171667,1.063,15.900,0.000,0.000,0.000,1,1,2.00,0,NONE
87,37.2888525000,127.1073196667,1.284,16.012,0.000,0.000,0.000,1,1,2.00,0,NONE
88,37.2888533333,127.1073221667,1.506,16.104,0.000,0.000,0.000,1,1,2.00,0,NONE
89,37.2888538333,127.1073246667,1.727,16.160,0.000,0.000,0.000,1,1,2.00,0,NONE
90,37.2888543333,127.1073275000,1.978,16.216,0.000,0.000,0.000,1,1,2.00,0,NONE
91,37.2888546667,127.1073300000,2.199,16.253,0.000,0.000,0.000,1,1,2.00,0,NONE
92,37.2888551667,127.1073325000,2.421,16.308,0.000,0.000,0.000,1,1,2.00,0,NONE
93,37.2888555000,127.1073350000,2.642,16.345,0.000,0.000,0.000,1,1,2.00,0,NONE
94,37.2888555000,127.1073376667,2.878,16.345,0.000,0.000,0.000,1,1,2.00,0,NONE
95,37.2888555000,127.1073403333,3.115,16.345,0.000,0.000,0.000,1,1,2.00,0,NONE
96,37.2888553333,127.1073431667,3.365,16.327,0.000,0.000,0.000,1,1,2.00,0,NONE
97,37.2888553333,127.1073458333,3.602,16.327,0.000,0.000,0.000,1,1,2.00,0,NONE
98,37.2888553333,127.1073485000,3.838,16.327,0.000,0.000,0.000,1,1,2.00,0,NONE
99,37.2888551667,127.1073511667,4.074,16.308,0.000,0.000,0.000,1,1,2.00,0,NONE
100,37.2888546667,127.1073538333,4.310,16.253,0.000,0.000,0.000,1,1,2.00,0,NONE
101,37.2888541667,127.1073565000,4.546,16.197,0.000,0.000,0.000,1,1,2.00,0,NONE
102,37.2888538333,127.1073591667,4.783,16.160,0.000,0.000,0.000,1,1,2.00,0,NONE
103,37.2888536667,127.1073616667,5.004,16.141,0.000,0.000,0.000,1,1,2.00,0,NONE
104,37.2888533333,127.1073643333,5.240,16.104,0.000,0.000,0.000,1,1,2.00,0,NONE
105,37.2888528333,127.1073670000,5.476,16.049,0.000,0.000,0.000,1,1,2.00,0,NONE
106,37.2888523333,127.1073693333,5.683,15.993,0.000,0.000,0.000,1,1,2.00,0,NONE
107,37.2888518333,127.1073721667,5.934,15.937,0.000,0.000,0.000,1,1,2.00,0,NONE
108,37.2888515000,127.1073745000,6.141,15.900,0.000,0.000,0.000,1,1,2.00,0,NONE
109,37.2888510000,127.1073771667,6.377,15.845,0.000,0.000,0.000,1,1,2.00,0,NONE
110,37.2888503333,127.1073796667,6.598,15.770,0.000,0.000,0.000,1,1,2.00,0,NONE
111,37.2888495000,127.1073821667,6.820,15.678,0.000,0.000,0.000,1,1,2.00,0,NONE
112,37.2888488333,127.1073846667,7.041,15.603,0.000,0.000,0.000,1,1,2.00,0,NONE
113,37.2888481667,127.1073870000,7.248,15.529,0.000,0.000,0.000,1,1,2.00,0,NONE
114,37.2888476667,127.1073895000,7.469,15.473,0.000,0.000,0.000,1,1,2.00,0,NONE
