index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2887098333,127.1073146667,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2887108333,127.1073131667,-0.133,0.111,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2887111667,127.1073111667,-0.310,0.148,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2887115000,127.1073086667,-0.531,0.186,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2887123333,127.1073063333,-0.738,0.278,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2887130000,127.1073043333,-0.915,0.353,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2887138333,127.1073023333,-1.092,0.445,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2887145000,127.1073003333,-1.269,0.519,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2887150000,127.1072978333,-1.491,0.575,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2887158333,127.1072956667,-1.683,0.668,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2887166667,127.1072933333,-1.889,0.761,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2887178333,127.1072908333,-2.111,0.891,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2887188333,127.1072885000,-2.317,1.002,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2887198333,127.1072863333,-2.509,1.113,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2887206667,127.1072836667,-2.746,1.206,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2887216667,127.1072816667,-2.923,1.317,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2887230000,127.1072795000,-3.115,1.466,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2887241667,127.1072775000,-3.292,1.596,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2887253333,127.1072753333,-3.484,1.725,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2887265000,127.1072733333,-3.661,1.855,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2887276667,127.1072713333,-3.838,1.985,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2887290000,127.1072698333,-3.971,2.134,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2887306667,127.1072683333,-4.104,2.319,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2887325000,127.1072668333,-4.236,2.523,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2887341667,127.1072656667,-4.340,2.709,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2887360000,127.1072643333,-4.458,2.913,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2887376667,127.1072633333,-4.546,3.098,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2887395000,127.1072625000,-4.620,3.302,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2887416667,127.1072618333,-4.679,3.544,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2887438333,127.1072613333,-4.723,3.785,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2887458333,127.1072608333,-4.768,4.008,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2887478333,127.1072605000,-4.797,4.230,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2887500000,127.1072601667,-4.827,4.471,0.000,0.000,0.000,1,1,2.00,0,NONE
33,37.2887521667,127.1072600000,-4.842,4.713,0.000,0.000,0.000,1,1,2.00,0,NONE
34,37.2887545000,127.1072601667,-4.827,4.972,0.000,0.000,0.000,1,1,2.00,0,NONE
35,37.2887565000,127.1072600000,-4.842,5.195,0.000,0.000,0.000,1,1,2.00,0,NONE
