index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2887096667,127.1073100000,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2887098333,127.1073076667,-0.207,0.019,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2887106667,127.1073053333,-0.413,0.111,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2887113333,127.1073030000,-0.620,0.186,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2887118333,127.1073010000,-0.797,0.241,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2887121667,127.1072990000,-0.974,0.278,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2887128333,127.1072970000,-1.151,0.353,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2887135000,127.1072950000,-1.328,0.427,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2887143333,127.1072930000,-1.506,0.519,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2887150000,127.1072908333,-1.698,0.594,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2887156667,127.1072886667,-1.889,0.668,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2887165000,127.1072863333,-2.096,0.761,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2887175000,127.1072843333,-2.273,0.872,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2887186667,127.1072821667,-2.465,1.002,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2887198333,127.1072800000,-2.657,1.132,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2887208333,127.1072778333,-2.849,1.243,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2887218333,127.1072756667,-3.041,1.354,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2887231667,127.1072733333,-3.247,1.503,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2887245000,127.1072715000,-3.410,1.651,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2887258333,127.1072698333,-3.557,1.800,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2887275000,127.1072680000,-3.720,1.985,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2887288333,127.1072665000,-3.853,2.134,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2887301667,127.1072648333,-4.000,2.282,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2887318333,127.1072633333,-4.133,2.468,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2887336667,127.1072625000,-4.207,2.672,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2887355000,127.1072616667,-4.281,2.876,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2887373333,127.1072608333,-4.354,3.080,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2887391667,127.1072600000,-4.428,3.284,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2887411667,127.1072591667,-4.502,3.507,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2887431667,127.1072585000,-4.561,3.729,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2887451667,127.1072581667,-4.591,3.952,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2887475000,127.1072578333,-4.620,4.212,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2887495000,127.1072573333,-4.664,4.434,0.000,0.000,0.000,1,1,2.00,0,NONE
33,37.2887516667,127.1072568333,-4.709,4.675,0.000,0.000,0.000,1,1,2.00,0,NONE
34,37.2887538333,127.1072561667,-4.768,4.917,0.000,0.000,0.000,1,1,2.00,0,NONE
35,37.2887560000,127.1072560000,-4.783,5.158,0.000,0.000,0.000,1,1,2.00,0,NONE
36,37.2887581667,127.1072560000,-4.783,5.399,0.000,0.000,0.000,1,1,2.00,0,NONE
37,37.2887605000,127.1072561667,-4.768,5.659,0.000,0.000,0.000,1,1,2.00,0,NONE
38,37.2887625000,127.1072561667,-4.768,5.881,0.000,0.000,0.000,1,1,2.00,0,NONE
39,37.2887646667,127.1072563333,-4.753,6.123,0.000,0.000,0.000,1,1,2.00,0,NONE
40,37.2887668333,127.1072563333,-4.753,6.364,0.000,0.000,0.000,1,1,2.00,0,NONE
41,37.2887688333,127.1072566667,-4.723,6.586,0.000,0.000,0.000,1,1,2.00,0,NONE
42,37.2887710000,127.1072570000,-4.694,6.828,0.000,0.000,0.000,1,1,2.00,0,NONE
43,37.2887730000,127.1072573333,-4.664,7.050,0.000,0.000,0.000,1,1,2.00,0,NONE
44,37.2887750000,127.1072578333,-4.620,7.273,0.000,0.000,0.000,1,1,2.00,0,NONE
45,37.2887770000,127.1072583333,-4.576,7.496,0.000,0.000,0.000,1,1,2.00,0,NONE
46,37.2887790000,127.1072590000,-4.517,7.718,0.000,0.000,0.000,1,1,2.00,0,NONE
47,37.2887810000,127.1072596667,-4.458,7.941,0.000,0.000,0.000,1,1,2.00,0,NONE
