index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2887098333,127.1073113333,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2887096667,127.1073093333,-0.177,-0.019,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2887105000,127.1073075000,-0.340,0.074,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2887115000,127.1073053333,-0.531,0.186,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2887120000,127.1073036667,-0.679,0.241,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2887125000,127.1073016667,-0.856,0.297,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2887130000,127.1072995000,-1.048,0.353,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2887136667,127.1072975000,-1.225,0.427,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2887143333,127.1072955000,-1.402,0.501,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2887153333,127.1072933333,-1.594,0.612,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2887160000,127.1072911667,-1.786,0.686,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2887166667,127.1072890000,-1.978,0.761,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2887175000,127.1072865000,-2.199,0.853,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2887183333,127.1072843333,-2.391,0.946,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2887191667,127.1072821667,-2.583,1.039,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2887203333,127.1072800000,-2.775,1.169,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2887213333,127.1072780000,-2.952,1.280,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2887223333,127.1072758333,-3.144,1.391,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2887235000,127.1072736667,-3.336,1.521,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2887248333,127.1072718333,-3.498,1.670,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2887261667,127.1072701667,-3.646,1.818,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2887278333,127.1072685000,-3.794,2.004,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2887293333,127.1072670000,-3.926,2.171,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2887310000,127.1072655000,-4.059,2.356,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2887328333,127.1072640000,-4.192,2.560,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2887345000,127.1072626667,-4.310,2.746,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2887365000,127.1072616667,-4.399,2.969,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2887385000,127.1072606667,-4.487,3.191,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2887403333,127.1072596667,-4.576,3.395,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2887423333,127.1072585000,-4.679,3.618,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2887443333,127.1072576667,-4.753,3.841,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2887465000,127.1072570000,-4.812,4.082,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2887486667,127.1072565000,-4.856,4.323,0.000,0.000,0.000,1,1,2.00,0,NONE
33,37.2887506667,127.1072560000,-4.901,4.546,0.000,0.000,0.000,1,1,2.00,0,NONE
34,37.2887528333,127.1072555000,-4.945,4.787,0.000,0.000,0.000,1,1,2.00,0,NONE
35,37.2887551667,127.1072550000,-4.989,5.047,0.000,0.000,0.000,1,1,2.00,0,NONE
36,37.2887570000,127.1072546667,-5.019,5.251,0.000,0.000,0.000,1,1,2.00,0,NONE
37,37.2887591667,127.1072545000,-5.033,5.492,0.000,0.000,0.000,1,1,2.00,0,NONE
38,37.2887615000,127.1072543333,-5.048,5.752,0.000,0.000,0.000,1,1,2.00,0,NONE
39,37.2887635000,127.1072543333,-5.048,5.974,0.000,0.000,0.000,1,1,2.00,0,NONE
40,37.2887655000,127.1072543333,-5.048,6.197,0.000,0.000,0.000,1,1,2.00,0,NONE
