index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2889698333,127.1076626667,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2889695000,127.1076610000,-0.148,-0.037,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2889701667,127.1076588333,-0.339,0.037,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2889708333,127.1076573333,-0.472,0.111,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2889713333,127.1076556667,-0.620,0.167,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2889716667,127.1076538333,-0.782,0.204,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2889720000,127.1076515000,-0.989,0.241,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2889725000,127.1076496667,-1.151,0.297,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2889731667,127.1076473333,-1.358,0.371,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2889738333,127.1076451667,-1.550,0.445,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2889745000,127.1076430000,-1.742,0.519,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2889750000,127.1076406667,-1.948,0.575,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2889753333,127.1076381667,-2.170,0.612,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2889758333,127.1076356667,-2.391,0.668,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2889766667,127.1076333333,-2.598,0.761,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2889775000,127.1076308333,-2.819,0.853,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2889783333,127.1076283333,-3.041,0.946,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2889788333,127.1076256667,-3.277,1.002,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2889793333,127.1076230000,-3.513,1.058,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2889800000,127.1076203333,-3.749,1.132,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2889808333,127.1076178333,-3.971,1.225,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2889816667,127.1076151667,-4.207,1.317,0.000,0.000,0.000,1,1,2.00,0,NONE
