index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2889421667,127.1076483333,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2889428333,127.1076463333,-0.177,0.074,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2889436667,127.1076443333,-0.354,0.167,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2889441667,127.1076426667,-0.502,0.223,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2889445000,127.1076408333,-0.664,0.260,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2889448333,127.1076386667,-0.856,0.297,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2889456667,127.1076368333,-1.018,0.390,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2889463333,127.1076353333,-1.151,0.464,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2889470000,127.1076338333,-1.284,0.538,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2889473333,127.1076321667,-1.432,0.575,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2889478333,127.1076301667,-1.609,0.631,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2889481667,127.1076281667,-1.786,0.668,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2889486667,127.1076263333,-1.948,0.724,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2889495000,127.1076243333,-2.126,0.816,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2889501667,127.1076223333,-2.303,0.891,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2889506667,127.1076201667,-2.495,0.946,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2889510000,127.1076180000,-2.686,0.983,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2889515000,127.1076158333,-2.878,1.039,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2889520000,127.1076138333,-3.055,1.095,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2889526667,127.1076115000,-3.262,1.169,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2889533333,127.1076095000,-3.439,1.243,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2889540000,127.1076073333,-3.631,1.317,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2889543333,127.1076050000,-3.838,1.354,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2889548333,127.1076028333,-4.030,1.410,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2889553333,127.1076008333,-4.207,1.466,0.000,0.000,0.000,1,1,2.00,0,NONE
