index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2886246667,127.1072916667,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2886231667,127.1072913333,-0.030,-0.167,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2886218333,127.1072900000,-0.148,-0.315,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2886205000,127.1072890000,-0.236,-0.464,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2886190000,127.1072881667,-0.310,-0.631,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2886176667,127.1072878333,-0.340,-0.779,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2886163333,127.1072873333,-0.384,-0.928,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2886150000,127.1072868333,-0.428,-1.076,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2886136667,127.1072861667,-0.487,-1.225,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2886121667,127.1072851667,-0.576,-1.391,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2886106667,127.1072843333,-0.649,-1.558,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2886091667,127.1072836667,-0.709,-1.725,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2886075000,127.1072830000,-0.768,-1.911,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2886058333,127.1072823333,-0.827,-2.097,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2886041667,127.1072815000,-0.900,-2.282,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2886025000,127.1072805000,-0.989,-2.468,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2886006667,127.1072795000,-1.078,-2.672,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2885988333,127.1072785000,-1.166,-2.876,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2885971667,127.1072776667,-1.240,-3.061,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2885953333,127.1072770000,-1.299,-3.265,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2885936667,127.1072761667,-1.373,-3.451,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2885918333,127.1072750000,-1.476,-3.655,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2885903333,127.1072738333,-1.579,-3.822,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2885885000,127.1072728333,-1.668,-4.026,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2885868333,127.1072718333,-1.757,-4.212,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2885848333,127.1072711667,-1.816,-4.434,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2885830000,127.1072703333,-1.889,-4.638,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2885811667,127.1072693333,-1.978,-4.842,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2885793333,127.1072681667,-2.081,-5.047,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2885775000,127.1072673333,-2.155,-5.251,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2885758333,127.1072663333,-2.244,-5.436,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2885740000,127.1072656667,-2.303,-5.640,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2885721667,127.1072646667,-2.391,-5.844,0.000,0.000,0.000,1,1,2.00,0,NONE
33,37.2885705000,127.1072636667,-2.480,-6.030,0.000,0.000,0.000,1,1,2.00,0,NONE
34,37.2885686667,127.1072625000,-2.583,-6.234,0.000,0.000,0.000,1,1,2.00,0,NONE
35,37.2885668333,127.1072615000,-2.672,-6.438,0.000,0.000,0.000,1,1,2.00,0,NONE
36,37.2885650000,127.1072606667,-2.746,-6.642,0.000,0.000,0.000,1,1,2.00,0,NONE
37,37.2885630000,127.1072598333,-2.819,-6.865,0.000,0.000,0.000,1,1,2.00,0,NONE
38,37.2885611667,127.1072591667,-2.878,-7.069,0.000,0.000,0.000,1,1,2.00,0,NONE
39,37.2885593333,127.1072583333,-2.952,-7.273,0.000,0.000,0.000,1,1,2.00,0,NONE
40,37.2885575000,127.1072573333,-3.041,-7.477,0.000,0.000,0.000,1,1,2.00,0,NONE
41,37.2885556667,127.1072563333,-3.129,-7.681,0.000,0.000,0.000,1,1,2.00,0,NONE
42,37.2885538333,127.1072556667,-3.188,-7.885,0.000,0.000,0.000,1,1,2.00,0,NONE
43,37.2885518333,127.1072551667,-3.233,-8.108,0.000,0.000,0.000,1,1,2.00,0,NONE
44,37.2885500000,127.1072546667,-3.277,-8.312,0.000,0.000,0.000,1,1,2.00,0,NONE
45,37.2885481667,127.1072538333,-3.351,-8.516,0.000,0.000,0.000,1,1,2.00,0,NONE
46,37.2885463333,127.1072528333,-3.439,-8.720,0.000,0.000,0.000,1,1,2.00,0,NONE
47,37.2885443333,127.1072520000,-3.513,-8.943,0.000,0.000,0.000,1,1,2.00,0,NONE
48,37.2885425000,127.1072513333,-3.572,-9.147,0.000,0.000,0.000,1,1,2.00,0,NONE
49,37.2885405000,127.1072508333,-3.616,-9.369,0.000,0.000,0.000,1,1,2.00,0,NONE
50,37.2885388333,127.1072501667,-3.675,-9.555,0.000,0.000,0.000,1,1,2.00,0,NONE
51,37.2885370000,127.1072491667,-3.764,-9.759,0.000,0.000,0.000,1,1,2.00,0,NONE
52,37.2885350000,127.1072481667,-3.853,-9.982,0.000,0.000,0.000,1,1,2.00,0,NONE
53,37.2885331667,127.1072471667,-3.941,-10.186,0.000,0.000,0.000,1,1,2.00,0,NONE
54,37.2885313333,127.1072463333,-4.015,-10.390,0.000,0.000,0.000,1,1,2.00,0,NONE
55,37.2885293333,127.1072456667,-4.074,-10.613,0.000,0.000,0.000,1,1,2.00,0,NONE
56,37.2885275000,127.1072448333,-4.148,-10.817,0.000,0.000,0.000,1,1,2.00,0,NONE
57,37.2885256667,127.1072436667,-4.251,-11.021,0.000,0.000,0.000,1,1,2.00,0,NONE
58,37.2885238333,127.1072426667,-4.340,-11.225,0.000,0.000,0.000,1,1,2.00,0,NONE
59,37.2885218333,127.1072415000,-4.443,-11.447,0.000,0.000,0.000,1,1,2.00,0,NONE
60,37.2885198333,127.1072406667,-4.517,-11.670,0.000,0.000,0.000,1,1,2.00,0,NONE
61,37.2885180000,127.1072401667,-4.561,-11.874,0.000,0.000,0.000,1,1,2.00,0,NONE
62,37.2885161667,127.1072391667,-4.650,-12.078,0.000,0.000,0.000,1,1,2.00,0,NONE
63,37.2885143333,127.1072381667,-4.738,-12.282,0.000,0.000,0.000,1,1,2.00,0,NONE
64,37.2885123333,127.1072370000,-4.842,-12.505,0.000,0.000,0.000,1,1,2.00,0,NONE
65,37.2885105000,127.1072361667,-4.915,-12.709,0.000,0.000,0.000,1,1,2.00,0,NONE
66,37.2885085000,127.1072353333,-4.989,-12.932,0.000,0.000,0.000,1,1,2.00,0,NONE
67,37.2885068333,127.1072346667,-5.048,-13.117,0.000,0.000,0.000,1,1,2.00,0,NONE
68,37.2885051667,127.1072338333,-5.122,-13.303,0.000,0.000,0.000,1,1,2.00,0,NONE
69,37.2885033333,127.1072328333,-5.211,-13.507,0.000,0.000,0.000,1,1,2.00,0,NONE
70,37.2885016667,127.1072318333,-5.299,-13.692,0.000,0.000,0.000,1,1,2.00,0,NONE
71,37.2885000000,127.1072310000,-5.373,-13.878,0.000,0.000,0.000,1,1,2.00,0,NONE
72,37.2884983333,127.1072303333,-5.432,-14.063,0.000,0.000,0.000,1,1,2.00,0,NONE
73,37.2884965000,127.1072296667,-5.491,-14.268,0.000,0.000,0.000,1,1,2.00,0,NONE
74,37.2884948333,127.1072288333,-5.565,-14.453,0.000,0.000,0.000,1,1,2.00,0,NONE
75,37.2884930000,127.1072278333,-5.653,-14.657,0.000,0.000,0.000,1,1,2.00,0,NONE
76,37.2884911667,127.1072268333,-5.742,-14.861,0.000,0.000,0.000,1,1,2.00,0,NONE
77,37.2884895000,127.1072261667,-5.801,-15.047,0.000,0.000,0.000,1,1,2.00,0,NONE
78,37.2884876667,127.1072256667,-5.845,-15.251,0.000,0.000,0.000,1,1,2.00,0,NONE
79,37.2884860000,127.1072251667,-5.890,-15.436,0.000,0.000,0.000,1,1,2.00,0,NONE
80,37.2884843333,127.1072246667,-5.934,-15.622,0.000,0.000,0.000,1,1,2.00,0,NONE
81,37.2884826667,127.1072238333,-6.008,-15.807,0.000,0.000,0.000,1,1,2.00,0,NONE
82,37.2884808333,127.1072228333,-6.096,-16.012,0.000,0.000,0.000,1,1,2.00,0,NONE
83,37.2884791667,127.1072220000,-6.170,-16.197,0.000,0.000,0.000,1,1,2.00,0,NONE
84,37.2884775000,127.1072213333,-6.229,-16.383,0.000,0.000,0.000,1,1,2.00,0,NONE
85,37.2884758333,127.1072206667,-6.288,-16.568,0.000,0.000,0.000,1,1,2.00,0,NONE
86,37.2884741667,127.1072198333,-6.362,-16.754,0.000,0.000,0.000,1,1,2.00,0,NONE
87,37.2884726667,127.1072188333,-6.451,-16.921,0.000,0.000,0.000,1,1,2.00,0,NONE
88,37.2884711667,127.1072176667,-6.554,-17.088,0.000,0.000,0.000,1,1,2.00,0,NONE
89,37.2884698333,127.1072168333,-6.628,-17.236,0.000,0.000,0.000,1,1,2.00,0,NONE
90,37.2884680000,127.1072160000,-6.701,-17.440,0.000,0.000,0.000,1,1,2.00,0,NONE
91,37.2884665000,127.1072153333,-6.760,-17.607,0.000,0.000,0.000,1,1,2.00,0,NONE
92,37.2884651667,127.1072143333,-6.849,-17.756,0.000,0.000,0.000,1,1,2.00,0,NONE
93,37.2884651667,127.1072138333,-6.893,-17.756,0.000,0.000,0.000,-1,1,2.00,0,NONE
94,37.2884666667,127.1072145000,-6.834,-17.589,0.000,0.000,0.000,-1,1,2.00,0,NONE
95,37.2884680000,127.1072150000,-6.790,-17.440,0.000,0.000,0.000,-1,1,2.00,0,NONE
96,37.2884693333,127.1072158333,-6.716,-17.292,0.000,0.000,0.000,-1,1,2.00,0,NONE
97,37.2884708333,127.1072171667,-6.598,-17.125,0.000,0.000,0.000,-1,1,2.00,0,NONE
98,37.2884723333,127.1072183333,-6.495,-16.958,0.000,0.000,0.000,-1,1,2.00,0,NONE
99,37.2884740000,127.1072190000,-6.436,-16.772,0.000,0.000,0.000,-1,1,2.00,0,NONE
100,37.2884758333,127.1072196667,-6.377,-16.568,0.000,0.000,0.000,-1,1,2.00,0,NONE
101,37.2884771667,127.1072203333,-6.318,-16.420,0.000,0.000,0.000,-1,1,2.00,0,NONE
102,37.2884786667,127.1072210000,-6.259,-16.253,0.000,0.000,0.000,-1,1,2.00,0,NONE
103,37.2884801667,127.1072215000,-6.214,-16.086,0.000,0.000,0.000,-1,1,2.00,0,NONE
104,37.2884820000,127.1072220000,-6.170,-15.882,0.000,0.000,0.000,-1,1,2.00,0,NONE
105,37.2884835000,127.1072221667,-6.155,-15.715,0.000,0.000,0.000,-1,1,2.00,0,NONE
106,37.2884850000,127.1072230000,-6.081,-15.548,0.000,0.000,0.000,-1,1,2.00,0,NONE
107,37.2884868333,127.1072243333,-5.963,-15.344,0.000,0.000,0.000,-1,1,2.00,0,NONE
108,37.2884885000,127.1072255000,-5.860,-15.158,0.000,0.000,0.000,-1,1,2.00,0,NONE
109,37.2884903333,127.1072261667,-5.801,-14.954,0.000,0.000,0.000,-1,1,2.00,0,NONE
110,37.2884921667,127.1072266667,-5.757,-14.750,0.000,0.000,0.000,-1,1,2.00,0,NONE
111,37.2884940000,127.1072273333,-5.698,-14.546,0.000,0.000,0.000,-1,1,2.00,0,NONE
112,37.2884953333,127.1072281667,-5.624,-14.397,0.000,0.000,0.000,-1,1,2.00,0,NONE
