index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2886291667,127.1072945000,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2886281667,127.1072930000,-0.133,-0.111,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2886268333,127.1072926667,-0.162,-0.260,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2886251667,127.1072923333,-0.192,-0.445,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2886236667,127.1072916667,-0.251,-0.612,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2886223333,127.1072906667,-0.340,-0.761,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2886210000,127.1072898333,-0.413,-0.909,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2886195000,127.1072890000,-0.487,-1.076,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2886178333,127.1072883333,-0.546,-1.262,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2886161667,127.1072878333,-0.590,-1.447,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2886145000,127.1072871667,-0.649,-1.633,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2886128333,127.1072863333,-0.723,-1.818,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2886113333,127.1072853333,-0.812,-1.985,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2886096667,127.1072843333,-0.900,-2.171,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2886081667,127.1072835000,-0.974,-2.338,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2886063333,127.1072828333,-1.033,-2.542,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2886046667,127.1072821667,-1.092,-2.727,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2886028333,127.1072811667,-1.181,-2.931,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2886010000,127.1072798333,-1.299,-3.136,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2885993333,127.1072788333,-1.388,-3.321,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2885976667,127.1072778333,-1.476,-3.507,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2885958333,127.1072770000,-1.550,-3.711,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2885940000,127.1072761667,-1.624,-3.915,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2885921667,127.1072750000,-1.727,-4.119,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2885905000,127.1072736667,-1.845,-4.304,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2885886667,127.1072726667,-1.934,-4.508,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2885868333,127.1072716667,-2.022,-4.713,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2885848333,127.1072708333,-2.096,-4.935,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2885831667,127.1072698333,-2.185,-5.121,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2885813333,127.1072685000,-2.303,-5.325,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2885795000,127.1072671667,-2.421,-5.529,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2885776667,127.1072661667,-2.509,-5.733,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2885758333,127.1072653333,-2.583,-5.937,0.000,0.000,0.000,1,1,2.00,0,NONE
33,37.2885740000,127.1072643333,-2.672,-6.141,0.000,0.000,0.000,1,1,2.00,0,NONE
34,37.2885721667,127.1072633333,-2.760,-6.345,0.000,0.000,0.000,1,1,2.00,0,NONE
35,37.2885703333,127.1072620000,-2.878,-6.549,0.000,0.000,0.000,1,1,2.00,0,NONE
36,37.2885685000,127.1072608333,-2.982,-6.753,0.000,0.000,0.000,1,1,2.00,0,NONE
37,37.2885668333,127.1072598333,-3.070,-6.939,0.000,0.000,0.000,1,1,2.00,0,NONE
38,37.2885650000,127.1072590000,-3.144,-7.143,0.000,0.000,0.000,1,1,2.00,0,NONE
39,37.2885631667,127.1072581667,-3.218,-7.347,0.000,0.000,0.000,1,1,2.00,0,NONE
40,37.2885613333,127.1072573333,-3.292,-7.551,0.000,0.000,0.000,1,1,2.00,0,NONE
41,37.2885595000,127.1072563333,-3.380,-7.755,0.000,0.000,0.000,1,1,2.00,0,NONE
42,37.2885575000,127.1072553333,-3.469,-7.978,0.000,0.000,0.000,1,1,2.00,0,NONE
43,37.2885556667,127.1072545000,-3.543,-8.182,0.000,0.000,0.000,1,1,2.00,0,NONE
44,37.2885536667,127.1072538333,-3.602,-8.405,0.000,0.000,0.000,1,1,2.00,0,NONE
45,37.2885516667,127.1072531667,-3.661,-8.627,0.000,0.000,0.000,1,1,2.00,0,NONE
46,37.2885498333,127.1072523333,-3.735,-8.831,0.000,0.000,0.000,1,1,2.00,0,NONE
47,37.2885478333,127.1072511667,-3.838,-9.054,0.000,0.000,0.000,1,1,2.00,0,NONE
48,37.2885460000,127.1072501667,-3.926,-9.258,0.000,0.000,0.000,1,1,2.00,0,NONE
49,37.2885440000,127.1072493333,-4.000,-9.481,0.000,0.000,0.000,1,1,2.00,0,NONE
50,37.2885418333,127.1072486667,-4.059,-9.722,0.000,0.000,0.000,1,1,2.00,0,NONE
51,37.2885398333,127.1072476667,-4.148,-9.945,0.000,0.000,0.000,1,1,2.00,0,NONE
52,37.2885380000,127.1072466667,-4.236,-10.149,0.000,0.000,0.000,1,1,2.00,0,NONE
53,37.2885358333,127.1072456667,-4.325,-10.390,0.000,0.000,0.000,1,1,2.00,0,NONE
54,37.2885340000,127.1072446667,-4.414,-10.594,0.000,0.000,0.000,1,1,2.00,0,NONE
55,37.2885320000,127.1072438333,-4.487,-10.817,0.000,0.000,0.000,1,1,2.00,0,NONE
56,37.2885298333,127.1072431667,-4.546,-11.058,0.000,0.000,0.000,1,1,2.00,0,NONE
57,37.2885280000,127.1072423333,-4.620,-11.262,0.000,0.000,0.000,1,1,2.00,0,NONE
58,37.2885260000,127.1072413333,-4.709,-11.485,0.000,0.000,0.000,1,1,2.00,0,NONE
59,37.2885241667,127.1072403333,-4.797,-11.689,0.000,0.000,0.000,1,1,2.00,0,NONE
60,37.2885221667,127.1072395000,-4.871,-11.911,0.000,0.000,0.000,1,1,2.00,0,NONE
61,37.2885201667,127.1072386667,-4.945,-12.134,0.000,0.000,0.000,1,1,2.00,0,NONE
62,37.2885181667,127.1072380000,-5.004,-12.357,0.000,0.000,0.000,1,1,2.00,0,NONE
63,37.2885163333,127.1072370000,-5.093,-12.561,0.000,0.000,0.000,1,1,2.00,0,NONE
64,37.2885143333,127.1072358333,-5.196,-12.783,0.000,0.000,0.000,1,1,2.00,0,NONE
65,37.2885123333,127.1072346667,-5.299,-13.006,0.000,0.000,0.000,1,1,2.00,0,NONE
66,37.2885105000,127.1072338333,-5.373,-13.210,0.000,0.000,0.000,1,1,2.00,0,NONE
67,37.2885083333,127.1072330000,-5.447,-13.451,0.000,0.000,0.000,1,1,2.00,0,NONE
68,37.2885063333,127.1072320000,-5.535,-13.674,0.000,0.000,0.000,1,1,2.00,0,NONE
69,37.2885041667,127.1072311667,-5.609,-13.915,0.000,0.000,0.000,1,1,2.00,0,NONE
70,37.2885021667,127.1072298333,-5.727,-14.138,0.000,0.000,0.000,1,1,2.00,0,NONE
71,37.2885001667,127.1072288333,-5.816,-14.360,0.000,0.000,0.000,1,1,2.00,0,NONE
72,37.2884981667,127.1072280000,-5.890,-14.583,0.000,0.000,0.000,1,1,2.00,0,NONE
73,37.2884961667,127.1072271667,-5.963,-14.806,0.000,0.000,0.000,1,1,2.00,0,NONE
74,37.2884941667,127.1072263333,-6.037,-15.028,0.000,0.000,0.000,1,1,2.00,0,NONE
75,37.2884923333,127.1072253333,-6.126,-15.232,0.000,0.000,0.000,1,1,2.00,0,NONE
76,37.2884901667,127.1072241667,-6.229,-15.473,0.000,0.000,0.000,1,1,2.00,0,NONE
77,37.2884883333,127.1072233333,-6.303,-15.678,0.000,0.000,0.000,1,1,2.00,0,NONE
78,37.2884865000,127.1072225000,-6.377,-15.882,0.000,0.000,0.000,1,1,2.00,0,NONE
79,37.2884845000,127.1072220000,-6.421,-16.104,0.000,0.000,0.000,1,1,2.00,0,NONE
80,37.2884826667,127.1072211667,-6.495,-16.308,0.000,0.000,0.000,1,1,2.00,0,NONE
81,37.2884808333,127.1072201667,-6.583,-16.512,0.000,0.000,0.000,1,1,2.00,0,NONE
