index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2885513333,127.1074880000,0.015,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2885520000,127.1074896667,0.162,0.074,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2885538333,127.1074901667,0.207,0.278,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2885553333,127.1074901667,0.207,0.445,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2885573333,127.1074905000,0.236,0.668,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2885590000,127.1074910000,0.280,0.853,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2885608333,127.1074916667,0.340,1.058,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2885626667,127.1074925000,0.413,1.262,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2885646667,127.1074928333,0.443,1.484,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2885670000,127.1074931667,0.472,1.744,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2885691667,127.1074938333,0.531,1.985,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2885713333,127.1074946667,0.605,2.226,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2885736667,127.1074956667,0.694,2.486,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2885758333,127.1074963333,0.753,2.727,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2885783333,127.1074971667,0.827,3.006,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2885806667,127.1074980000,0.900,3.265,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2885828333,127.1074990000,0.989,3.507,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2885851667,127.1075003333,1.107,3.766,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2885873333,127.1075015000,1.210,4.008,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2885895000,127.1075025000,1.299,4.249,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2885918333,127.1075033333,1.373,4.508,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2885938333,127.1075041667,1.447,4.731,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2885958333,127.1075053333,1.550,4.954,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2885981667,127.1075065000,1.653,5.213,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2886005000,127.1075073333,1.727,5.473,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2886026667,127.1075078333,1.771,5.714,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2886040000,127.1075081667,1.801,5.863,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2886063333,127.1075086667,1.845,6.123,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2886086667,127.1075093333,1.904,6.382,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2886111667,127.1075100000,1.963,6.661,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2886135000,127.1075103333,1.993,6.920,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2886160000,127.1075105000,2.007,7.199,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2886183333,127.1075103333,1.993,7.458,0.000,0.000,0.000,1,1,2.00,0,NONE
33,37.2886205000,127.1075105000,2.007,7.700,0.000,0.000,0.000,1,1,2.00,0,NONE
34,37.2886231667,127.1075103333,1.993,7.996,0.000,0.000,0.000,1,1,2.00,0,NONE
35,37.2886255000,127.1075100000,1.963,8.256,0.000,0.000,0.000,1,1,2.00,0,NONE
36,37.2886278333,127.1075093333,1.904,8.516,0.000,0.000,0.000,1,1,2.00,0,NONE
37,37.2886301667,127.1075085000,1.830,8.776,0.000,0.000,0.000,1,1,2.00,0,NONE
38,37.2886323333,127.1075080000,1.786,9.017,0.000,0.000,0.000,1,1,2.00,0,NONE
39,37.2886348333,127.1075071667,1.712,9.295,0.000,0.000,0.000,1,1,2.00,0,NONE
40,37.2886371667,127.1075065000,1.653,9.555,0.000,0.000,0.000,1,1,2.00,0,NONE
41,37.2886395000,127.1075055000,1.565,9.815,0.000,0.000,0.000,1,1,2.00,0,NONE
42,37.2886416667,127.1075043333,1.461,10.056,0.000,0.000,0.000,1,1,2.00,0,NONE
43,37.2886436667,127.1075030000,1.343,10.279,0.000,0.000,0.000,1,1,2.00,0,NONE
44,37.2886458333,127.1075018333,1.240,10.520,0.000,0.000,0.000,1,1,2.00,0,NONE
45,37.2886481667,127.1075005000,1.122,10.779,0.000,0.000,0.000,1,1,2.00,0,NONE
46,37.2886501667,127.1074988333,0.974,11.002,0.000,0.000,0.000,1,1,2.00,0,NONE
47,37.2886521667,127.1074970000,0.812,11.225,0.000,0.000,0.000,1,1,2.00,0,NONE
48,37.2886538333,127.1074948333,0.620,11.410,0.000,0.000,0.000,1,1,2.00,0,NONE
49,37.2886555000,127.1074933333,0.487,11.596,0.000,0.000,0.000,1,1,2.00,0,NONE
50,37.2886575000,127.1074915000,0.325,11.818,0.000,0.000,0.000,1,1,2.00,0,NONE
51,37.2886595000,127.1074896667,0.162,12.041,0.000,0.000,0.000,1,1,2.00,0,NONE
52,37.2886613333,127.1074876667,-0.015,12.245,0.000,0.000,0.000,1,1,2.00,0,NONE
53,37.2886630000,127.1074855000,-0.207,12.431,0.000,0.000,0.000,1,1,2.00,0,NONE
54,37.2886645000,127.1074836667,-0.369,12.598,0.000,0.000,0.000,1,1,2.00,0,NONE
55,37.2886663333,127.1074816667,-0.546,12.802,0.000,0.000,0.000,1,1,2.00,0,NONE
56,37.2886681667,127.1074795000,-0.738,13.006,0.000,0.000,0.000,1,1,2.00,0,NONE
57,37.2886698333,127.1074773333,-0.930,13.191,0.000,0.000,0.000,1,1,2.00,0,NONE
58,37.2886715000,127.1074748333,-1.151,13.377,0.000,0.000,0.000,1,1,2.00,0,NONE
59,37.2886728333,127.1074725000,-1.358,13.525,0.000,0.000,0.000,1,1,2.00,0,NONE
60,37.2886743333,127.1074703333,-1.550,13.692,0.000,0.000,0.000,1,1,2.00,0,NONE
61,37.2886751667,127.1074690000,-1.668,13.785,0.000,0.000,0.000,1,1,2.00,0,NONE
62,37.2886766667,127.1074665000,-1.889,13.952,0.000,0.000,0.000,1,1,2.00,0,NONE
63,37.2886775000,127.1074651667,-2.007,14.045,0.000,0.000,0.000,1,1,2.00,0,NONE
64,37.2886786667,127.1074626667,-2.229,14.175,0.000,0.000,0.000,1,1,2.00,0,NONE
65,37.2886798333,127.1074600000,-2.465,14.305,0.000,0.000,0.000,1,1,2.00,0,NONE
66,37.2886811667,127.1074578333,-2.657,14.453,0.000,0.000,0.000,1,1,2.00,0,NONE
67,37.2886825000,127.1074551667,-2.893,14.601,0.000,0.000,0.000,1,1,2.00,0,NONE
68,37.2886838333,127.1074525000,-3.129,14.750,0.000,0.000,0.000,1,1,2.00,0,NONE
69,37.2886850000,127.1074498333,-3.365,14.880,0.000,0.000,0.000,1,1,2.00,0,NONE
70,37.2886858333,127.1074470000,-3.616,14.973,0.000,0.000,0.000,1,1,2.00,0,NONE
71,37.2886868333,127.1074443333,-3.853,15.084,0.000,0.000,0.000,1,1,2.00,0,NONE
72,37.2886878333,127.1074418333,-4.074,15.195,0.000,0.000,0.000,1,1,2.00,0,NONE
73,37.2886885000,127.1074403333,-4.207,15.269,0.000,0.000,0.000,1,1,2.00,0,NONE
74,37.2886896667,127.1074375000,-4.458,15.399,0.000,0.000,0.000,1,1,2.00,0,NONE
75,37.2886906667,127.1074346667,-4.709,15.511,0.000,0.000,0.000,1,1,2.00,0,NONE
76,37.2886911667,127.1074318333,-4.960,15.566,0.000,0.000,0.000,1,1,2.00,0,NONE
77,37.2886921667,127.1074295000,-5.166,15.678,0.000,0.000,0.000,1,1,2.00,0,NONE
78,37.2886931667,127.1074268333,-5.403,15.789,0.000,0.000,0.000,1,1,2.00,0,NONE
79,37.2886938333,127.1074253333,-5.535,15.863,0.000,0.000,0.000,1,1,2.00,0,NONE
80,37.2886948333,127.1074226667,-5.772,15.974,0.000,0.000,0.000,1,1,2.00,0,NONE
81,37.2886958333,127.1074200000,-6.008,16.086,0.000,0.000,0.000,1,1,2.00,0,NONE
82,37.2886966667,127.1074171667,-6.259,16.179,0.000,0.000,0.000,1,1,2.00,0,NONE
83,37.2886976667,127.1074146667,-6.480,16.290,0.000,0.000,0.000,1,1,2.00,0,NONE
84,37.2886985000,127.1074120000,-6.716,16.383,0.000,0.000,0.000,1,1,2.00,0,NONE
85,37.2886995000,127.1074093333,-6.952,16.494,0.000,0.000,0.000,1,1,2.00,0,NONE
86,37.2887001667,127.1074066667,-7.189,16.568,0.000,0.000,0.000,1,1,2.00,0,NONE
87,37.2887008333,127.1074038333,-7.440,16.642,0.000,0.000,0.000,1,1,2.00,0,NONE
88,37.2887015000,127.1074013333,-7.661,16.717,0.000,0.000,0.000,1,1,2.00,0,NONE
89,37.2887023333,127.1073990000,-7.868,16.809,0.000,0.000,0.000,1,1,2.00,0,NONE
90,37.2887031667,127.1073965000,-8.089,16.902,0.000,0.000,0.000,1,1,2.00,0,NONE
91,37.2887038333,127.1073940000,-8.310,16.976,0.000,0.000,0.000,1,1,2.00,0,NONE
92,37.2887041667,127.1073916667,-8.517,17.013,0.000,0.000,0.000,1,1,2.00,0,NONE
93,37.2887046667,127.1073893333,-8.724,17.069,0.000,0.000,0.000,1,1,2.00,0,NONE
94,37.2887050000,127.1073875000,-8.886,17.106,0.000,0.000,0.000,1,1,2.00,0,NONE
95,37.2887056667,127.1073855000,-9.063,17.180,0.000,0.000,0.000,1,1,2.00,0,NONE
96,37.2887061667,127.1073836667,-9.226,17.236,0.000,0.000,0.000,1,1,2.00,0,NONE
97,37.2887068333,127.1073816667,-9.403,17.310,0.000,0.000,0.000,1,1,2.00,0,NONE
98,37.2887063333,127.1073806667,-9.491,17.255,0.000,0.000,0.000,-1,1,2.00,0,NONE
99,37.2887058333,127.1073825000,-9.329,17.199,0.000,0.000,0.000,-1,1,2.00,0,NONE
100,37.2887051667,127.1073843333,-9.167,17.125,0.000,0.000,0.000,-1,1,2.00,0,NONE
101,37.2887050000,127.1073866667,-8.960,17.106,0.000,0.000,0.000,-1,1,2.00,0,NONE
102,37.2887056667,127.1073890000,-8.753,17.180,0.000,0.000,0.000,-1,1,2.00,0,NONE
103,37.2887058333,127.1073911667,-8.561,17.199,0.000,0.000,0.000,-1,1,2.00,0,NONE
