index,latitude,longitude,x_m,y_m,dr_x_m,dr_y_m,dr_yaw_deg,direction,mode,drive_level,wheel,event
0,37.2885420000,127.1074840000,0.000,0.000,0.000,0.000,0.000,1,1,2.00,0,NONE
1,37.2885433333,127.1074846667,0.059,0.148,0.000,0.000,0.000,1,1,2.00,0,NONE
2,37.2885451667,127.1074856667,0.148,0.353,0.000,0.000,0.000,1,1,2.00,0,NONE
3,37.2885463333,127.1074866667,0.236,0.482,0.000,0.000,0.000,1,1,2.00,0,NONE
4,37.2885478333,127.1074873333,0.295,0.649,0.000,0.000,0.000,1,1,2.00,0,NONE
5,37.2885495000,127.1074880000,0.354,0.835,0.000,0.000,0.000,1,1,2.00,0,NONE
6,37.2885513333,127.1074885000,0.399,1.039,0.000,0.000,0.000,1,1,2.00,0,NONE
7,37.2885530000,127.1074895000,0.487,1.225,0.000,0.000,0.000,1,1,2.00,0,NONE
8,37.2885551667,127.1074906667,0.590,1.466,0.000,0.000,0.000,1,1,2.00,0,NONE
9,37.2885571667,127.1074918333,0.694,1.688,0.000,0.000,0.000,1,1,2.00,0,NONE
10,37.2885593333,127.1074926667,0.768,1.930,0.000,0.000,0.000,1,1,2.00,0,NONE
11,37.2885616667,127.1074935000,0.841,2.189,0.000,0.000,0.000,1,1,2.00,0,NONE
12,37.2885636667,127.1074941667,0.900,2.412,0.000,0.000,0.000,1,1,2.00,0,NONE
13,37.2885660000,127.1074950000,0.974,2.672,0.000,0.000,0.000,1,1,2.00,0,NONE
14,37.2885673333,127.1074955000,1.019,2.820,0.000,0.000,0.000,1,1,2.00,0,NONE
15,37.2885695000,127.1074965000,1.107,3.061,0.000,0.000,0.000,1,1,2.00,0,NONE
16,37.2885718333,127.1074973333,1.181,3.321,0.000,0.000,0.000,1,1,2.00,0,NONE
17,37.2885741667,127.1074978333,1.225,3.581,0.000,0.000,0.000,1,1,2.00,0,NONE
18,37.2885763333,127.1074985000,1.284,3.822,0.000,0.000,0.000,1,1,2.00,0,NONE
19,37.2885785000,127.1074995000,1.373,4.063,0.000,0.000,0.000,1,1,2.00,0,NONE
20,37.2885798333,127.1075001667,1.432,4.212,0.000,0.000,0.000,1,1,2.00,0,NONE
21,37.2885821667,127.1075010000,1.506,4.471,0.000,0.000,0.000,1,1,2.00,0,NONE
22,37.2885835000,127.1075015000,1.550,4.620,0.000,0.000,0.000,1,1,2.00,0,NONE
23,37.2885858333,127.1075023333,1.624,4.880,0.000,0.000,0.000,1,1,2.00,0,NONE
24,37.2885881667,127.1075028333,1.668,5.139,0.000,0.000,0.000,1,1,2.00,0,NONE
25,37.2885903333,127.1075038333,1.757,5.380,0.000,0.000,0.000,1,1,2.00,0,NONE
26,37.2885926667,127.1075048333,1.845,5.640,0.000,0.000,0.000,1,1,2.00,0,NONE
27,37.2885940000,127.1075053333,1.889,5.789,0.000,0.000,0.000,1,1,2.00,0,NONE
28,37.2885953333,127.1075056667,1.919,5.937,0.000,0.000,0.000,1,1,2.00,0,NONE
29,37.2885978333,127.1075065000,1.993,6.215,0.000,0.000,0.000,1,1,2.00,0,NONE
30,37.2886001667,127.1075070000,2.037,6.475,0.000,0.000,0.000,1,1,2.00,0,NONE
31,37.2886015000,127.1075073333,2.067,6.624,0.000,0.000,0.000,1,1,2.00,0,NONE
32,37.2886036667,127.1075080000,2.126,6.865,0.000,0.000,0.000,1,1,2.00,0,NONE
33,37.2886050000,127.1075083333,2.155,7.013,0.000,0.000,0.000,1,1,2.00,0,NONE
34,37.2886063333,127.1075086667,2.185,7.162,0.000,0.000,0.000,1,1,2.00,0,NONE
35,37.2886088333,127.1075091667,2.229,7.440,0.000,0.000,0.000,1,1,2.00,0,NONE
36,37.2886111667,127.1075093333,2.244,7.700,0.000,0.000,0.000,1,1,2.00,0,NONE
37,37.2886135000,127.1075093333,2.244,7.959,0.000,0.000,0.000,1,1,2.00,0,NONE
38,37.2886156667,127.1075093333,2.244,8.201,0.000,0.000,0.000,1,1,2.00,0,NONE
39,37.2886180000,127.1075095000,2.258,8.460,0.000,0.000,0.000,1,1,2.00,0,NONE
40,37.2886205000,127.1075093333,2.244,8.739,0.000,0.000,0.000,1,1,2.00,0,NONE
41,37.2886228333,127.1075090000,2.214,8.998,0.000,0.000,0.000,1,1,2.00,0,NONE
42,37.2886251667,127.1075083333,2.155,9.258,0.000,0.000,0.000,1,1,2.00,0,NONE
43,37.2886273333,127.1075075000,2.081,9.499,0.000,0.000,0.000,1,1,2.00,0,NONE
44,37.2886295000,127.1075070000,2.037,9.740,0.000,0.000,0.000,1,1,2.00,0,NONE
45,37.2886318333,127.1075061667,1.963,10.000,0.000,0.000,0.000,1,1,2.00,0,NONE
46,37.2886341667,127.1075050000,1.860,10.260,0.000,0.000,0.000,1,1,2.00,0,NONE
47,37.2886363333,127.1075036667,1.742,10.501,0.000,0.000,0.000,1,1,2.00,0,NONE
48,37.2886381667,127.1075020000,1.594,10.705,0.000,0.000,0.000,1,1,2.00,0,NONE
49,37.2886401667,127.1075005000,1.461,10.928,0.000,0.000,0.000,1,1,2.00,0,NONE
50,37.2886421667,127.1074986667,1.299,11.151,0.000,0.000,0.000,1,1,2.00,0,NONE
51,37.2886441667,127.1074966667,1.122,11.373,0.000,0.000,0.000,1,1,2.00,0,NONE
52,37.2886458333,127.1074945000,0.930,11.559,0.000,0.000,0.000,1,1,2.00,0,NONE
53,37.2886466667,127.1074931667,0.812,11.651,0.000,0.000,0.000,1,1,2.00,0,NONE
54,37.2886480000,127.1074906667,0.590,11.800,0.000,0.000,0.000,1,1,2.00,0,NONE
55,37.2886495000,127.1074885000,0.399,11.967,0.000,0.000,0.000,1,1,2.00,0,NONE
56,37.2886513333,127.1074860000,0.177,12.171,0.000,0.000,0.000,1,1,2.00,0,NONE
57,37.2886528333,127.1074835000,-0.044,12.338,0.000,0.000,0.000,1,1,2.00,0,NONE
58,37.2886541667,127.1074810000,-0.266,12.486,0.000,0.000,0.000,1,1,2.00,0,NONE
59,37.2886551667,127.1074781667,-0.517,12.598,0.000,0.000,0.000,1,1,2.00,0,NONE
60,37.2886565000,127.1074758333,-0.723,12.746,0.000,0.000,0.000,1,1,2.00,0,NONE
61,37.2886578333,127.1074735000,-0.930,12.895,0.000,0.000,0.000,1,1,2.00,0,NONE
62,37.2886591667,127.1074708333,-1.166,13.043,0.000,0.000,0.000,1,1,2.00,0,NONE
63,37.2886605000,127.1074681667,-1.402,13.191,0.000,0.000,0.000,1,1,2.00,0,NONE
64,37.2886615000,127.1074655000,-1.638,13.303,0.000,0.000,0.000,1,1,2.00,0,NONE
65,37.2886625000,127.1074628333,-1.875,13.414,0.000,0.000,0.000,1,1,2.00,0,NONE
66,37.2886636667,127.1074603333,-2.096,13.544,0.000,0.000,0.000,1,1,2.00,0,NONE
67,37.2886650000,127.1074575000,-2.347,13.692,0.000,0.000,0.000,1,1,2.00,0,NONE
68,37.2886661667,127.1074546667,-2.598,13.822,0.000,0.000,0.000,1,1,2.00,0,NONE
69,37.2886673333,127.1074520000,-2.834,13.952,0.000,0.000,0.000,1,1,2.00,0,NONE
70,37.2886683333,127.1074491667,-3.085,14.063,0.000,0.000,0.000,1,1,2.00,0,NONE
71,37.2886695000,127.1074466667,-3.306,14.193,0.000,0.000,0.000,1,1,2.00,0,NONE
72,37.2886708333,127.1074440000,-3.543,14.342,0.000,0.000,0.000,1,1,2.00,0,NONE
73,37.2886715000,127.1074425000,-3.675,14.416,0.000,0.000,0.000,1,1,2.00,0,NONE
74,37.2886726667,127.1074396667,-3.926,14.546,0.000,0.000,0.000,1,1,2.00,0,NONE
75,37.2886735000,127.1074368333,-4.177,14.639,0.000,0.000,0.000,1,1,2.00,0,NONE
76,37.2886743333,127.1074340000,-4.428,14.731,0.000,0.000,0.000,1,1,2.00,0,NONE
77,37.2886751667,127.1074313333,-4.664,14.824,0.000,0.000,0.000,1,1,2.00,0,NONE
78,37.2886758333,127.1074298333,-4.797,14.898,0.000,0.000,0.000,1,1,2.00,0,NONE
79,37.2886768333,127.1074268333,-5.063,15.010,0.000,0.000,0.000,1,1,2.00,0,NONE
80,37.2886776667,127.1074241667,-5.299,15.102,0.000,0.000,0.000,1,1,2.00,0,NONE
81,37.2886783333,127.1074213333,-5.550,15.177,0.000,0.000,0.000,1,1,2.00,0,NONE
82,37.2886795000,127.1074173333,-5.904,15.307,0.000,0.000,0.000,1,1,2.00,0,NONE
83,37.2886803333,127.1074143333,-6.170,15.399,0.000,0.000,0.000,1,1,2.00,0,NONE
84,37.2886811667,127.1074115000,-6.421,15.492,0.000,0.000,0.000,1,1,2.00,0,NONE
85,37.2886820000,127.1074088333,-6.657,15.585,0.000,0.000,0.000,1,1,2.00,0,NONE
86,37.2886825000,127.1074060000,-6.908,15.640,0.000,0.000,0.000,1,1,2.00,0,NONE
87,37.2886831667,127.1074036667,-7.115,15.715,0.000,0.000,0.000,1,1,2.00,0,NONE
88,37.2886840000,127.1074011667,-7.336,15.807,0.000,0.000,0.000,1,1,2.00,0,NONE
89,37.2886848333,127.1073983333,-7.587,15.900,0.000,0.000,0.000,1,1,2.00,0,NONE
90,37.2886856667,127.1073956667,-7.823,15.993,0.000,0.000,0.000,1,1,2.00,0,NONE
91,37.2886866667,127.1073931667,-8.045,16.104,0.000,0.000,0.000,1,1,2.00,0,NONE
92,37.2886873333,127.1073910000,-8.237,16.179,0.000,0.000,0.000,1,1,2.00,0,NONE
93,37.2886881667,127.1073891667,-8.399,16.271,0.000,0.000,0.000,1,1,2.00,0,NONE
94,37.2886878333,127.1073910000,-8.237,16.234,0.000,0.000,0.000,1,1,2.00,0,NONE
95,37.2886876667,127.1073928333,-8.074,16.216,0.000,0.000,0.000,1,1,2.00,0,NONE
96,37.2886875000,127.1073940000,-7.971,16.197,0.000,0.000,0.000,-1,1,2.00,0,NONE
97,37.2886868333,127.1073956667,-7.823,16.123,0.000,0.000,0.000,-1,1,2.00,0,NONE
98,37.2886863333,127.1073973333,-7.676,16.067,0.000,0.000,0.000,-1,1,2.00,0,NONE
99,37.2886860000,127.1073995000,-7.484,16.030,0.000,0.000,0.000,-1,1,2.00,0,NONE
100,37.2886860000,127.1074013333,-7.321,16.030,0.000,0.000,0.000,-1,1,2.00,0,NONE
101,37.2886856667,127.1074036667,-7.115,15.993,0.000,0.000,0.000,-1,1,2.00,0,NONE
102,37.2886853333,127.1074053333,-6.967,15.956,0.000,0.000,0.000,-1,1,2.00,0,NONE
103,37.2886848333,127.1074071667,-6.805,15.900,0.000,0.000,0.000,-1,1,2.00,0,NONE
