index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5448921667,129.2552366667,0.000,0.000,1,INTERSECTION,2.00
1,35.5448908333,129.2552373333,0.060,-0.148,1,INTERSECTION,2.00
2,35.5448895000,129.2552383333,0.151,-0.297,1,INTERSECTION,2.00
3,35.5448878333,129.2552390000,0.211,-0.482,1,INTERSECTION,2.00
4,35.5448861667,129.2552393333,0.242,-0.668,1,INTERSECTION,2.00
5,35.5448846667,129.2552398333,0.287,-0.835,1,INTERSECTION,2.00
6,35.5448830000,129.2552408333,0.377,-1.020,1,INTERSECTION,2.00
7,35.5448816667,129.2552413333,0.423,-1.169,1,INTERSECTION,2.00
8,35.5448801667,129.2552423333,0.513,-1.336,1,INTERSECTION,2.00
9,35.5448788333,129.2552430000,0.574,-1.484,1,INTERSECTION,2.00
10,35.5448775000,129.2552435000,0.619,-1.633,1,INTERSECTION,2.00
11,35.5448763333,129.2552443333,0.694,-1.763,1,INTERSECTION,2.00
12,35.5448750000,129.2552448333,0.740,-1.911,1,INTERSECTION,2.00
13,35.5448736667,129.2552458333,0.830,-2.059,1,INTERSECTION,2.00
14,35.5448718333,129.2552466667,0.906,-2.264,1,INTERSECTION,2.00
15,35.5448705000,129.2552471667,0.951,-2.412,1,INTERSECTION,2.00
16,35.5448691667,129.2552476667,0.996,-2.560,1,INTERSECTION,2.00
17,35.5448676667,129.2552481667,1.042,-2.727,1,INTERSECTION,2.00
18,35.5448660000,129.2552493333,1.147,-2.913,1,INTERSECTION,2.00
19,35.5448646667,129.2552500000,1.208,-3.061,1,INTERSECTION,2.00
20,35.5448633333,129.2552506667,1.268,-3.210,1,INTERSECTION,2.00
21,35.5448618333,129.2552510000,1.298,-3.377,1,INTERSECTION,2.00
22,35.5448605000,129.2552515000,1.344,-3.525,1,INTERSECTION,2.00
23,35.5448591667,129.2552520000,1.389,-3.674,1,INTERSECTION,2.00
24,35.5448578333,129.2552526667,1.449,-3.822,1,INTERSECTION,2.00
25,35.5448563333,129.2552535000,1.525,-3.989,1,INTERSECTION,2.00
26,35.5448550000,129.2552543333,1.600,-4.137,1,INTERSECTION,2.00
27,35.5448538333,129.2552551667,1.676,-4.267,1,INTERSECTION,2.00
28,35.5448521667,129.2552560000,1.751,-4.453,1,INTERSECTION,2.00
29,35.5448508333,129.2552566667,1.812,-4.601,1,INTERSECTION,2.00
30,35.5448493333,129.2552575000,1.887,-4.768,1,INTERSECTION,2.00
31,35.5448478333,129.2552583333,1.962,-4.935,1,INTERSECTION,2.00
