index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.0000000000,129.0000000000,0.000,0.000,1,NORMAL,2.00
1,35.0000000000,129.0000000000,0.500,0.000,1,NORMAL,2.00
2,35.0000000000,129.0000000000,1.000,0.000,1,NORMAL,2.00
3,35.0000000000,129.0000000000,1.500,0.000,1,NORMAL,2.00
4,35.0000000000,129.0000000000,2.000,0.000,1,NORMAL,2.00
5,35.0000000000,129.0000000000,2.500,0.000,1,NORMAL,2.00
6,35.0000000000,129.0000000000,3.000,0.000,1,NORMAL,2.00
7,35.0000000000,129.0000000000,3.500,0.000,1,NORMAL,2.00
8,35.0000000000,129.0000000000,4.000,0.000,1,NORMAL,2.00
9,35.0000000000,129.0000000000,4.500,0.000,1,NORMAL,2.00
10,35.0000000000,129.0000000000,5.000,0.000,1,NORMAL,2.00
11,35.0000000000,129.0000000000,5.500,0.000,1,NORMAL,2.00
12,35.0000000000,129.0000000000,6.000,0.000,1,NORMAL,2.00
13,35.0000000000,129.0000000000,6.500,0.000,1,NORMAL,2.00
