x,y,dir
-0.0000,0.0000,1
0.1025,0.0000,1
0.2026,0.0000,1
0.3070,0.0000,1
0.4157,0.0000,1
0.5176,0.0000,1
0.6212,0.0000,1
0.7233,0.0000,1
0.8255,0.0000,1
0.9289,0.0000,1
1.0303,0.0000,1
1.1382,0.0000,1
1.2415,0.0000,1
1.3500,0.0000,1
1.4545,0.0000,1
1.5590,0.0000,1
1.6720,0.0000,1
1.7732,0.0000,1
1.8803,0.0000,1
1.9822,0.0000,1
2.0880,0.0000,1
2.1904,0.0000,1
2.2914,0.0000,1
2.4043,0.0000,1
2.5051,0.0000,1
2.6113,0.0000,1
2.7121,0.0000,1
2.8160,0.0000,1
2.9175,0.0000,1
3.0230,0.0000,1
3.1259,0.0000,1
3.2408,0.0000,1
3.3462,0.0000,1
3.4573,0.0000,1
3.5593,0.0000,1
3.6610,0.0000,1
3.7650,0.0000,1
3.8777,0.0000,1
3.9804,0.0000,1
4.0842,0.0000,1
4.1901,0.0000,1
4.2958,0.0000,1
4.4009,0.0000,1
4.5120,0.0000,1
4.6200,0.0000,1
4.7236,0.0000,1
4.8242,0.0000,1
4.9315,0.0000,1
5.0351,0.0000,1
5.1409,0.0000,1
5.2530,0.0000,1
5.3665,0.0000,1
5.4693,0.0000,1
5.5759,0.0000,1
5.6783,0.0000,1
5.7814,0.0000,1
5.8834,0.0000,1
5.9860,0.0000,1
6.0873,0.0000,1
6.1879,0.0000,1
6.2983,0.0000,1
6.4025,0.0000,1
6.5070,0.0000,1
6.6135,0.0000,1
6.7240,0.0000,1
6.8255,0.0000,1
6.9321,0.0000,1
7.0368,0.0000,1
7.1374,0.0000,1
7.2482,0.0000,1
7.3512,0.0000,1
7.4515,0.0000,1
7.5630,0.0000,1
7.6648,0.0000,1
7.7668,0.0000,1
7.8687,0.0000,1
7.9704,0.0000,1
8.0813,0.0000,1
8.1944,0.0000,1
8.3039,0.0000,1
8.4098,0.0000,1
8.5129,0.0000,1
8.6200,0.0000,1
8.7292,0.0000,1
8.8419,0.0000,1
8.9524,0.0000,1
9.0546,0.0000,1
9.1567,0.0000,1
9.2593,0.0000,1
9.3664,0.0000,1
9.4787,0.0000,1
9.5797,0.0000,1
9.6832,0.0000,1
9.7837,0.0000,1
9.8890,0.0000,1
9.9934,0.0000,1
9.8887,0.0000,-1
9.7855,0.0000,-1
9.6791,0.0000,-1
9.5772,0.0000,-1
9.4654,0.0000,-1
9.3651,0.0000,-1
9.2609,0.0000,-1
9.1576,0.0000,-1
9.0527,0.0000,-1
8.9399,0.0000,-1
8.8394,0.0001,-1
8.7373,0.0008,-1
8.6350,0.0039,-1
8.5347,0.0119,-1
8.4336,0.0283,-1
8.3319,0.0547,-1
8.2375,0.0890,-1
8.1385,0.1361,-1
8.0477,0.1910,-1
7.9661,0.2514,-1
7.8895,0.3203,-1
7.8184,0.3976,-1
7.7576,0.4777,-1
7.8176,0.3969,-1
7.7523,0.4823,-1
7.6893,0.5746,-1
7.6324,0.6664,-1
7.5793,0.7584,-1
7.5283,0.8501,-1
7.4770,0.9418,-1
7.4251,1.0284,-1
7.3692,1.1151,-1
7.3088,1.2067,-1
7.2506,1.2965,-1
7.1951,1.3865,-1
7.1434,1.4782,-1
7.0990,1.5686,-1
7.0613,1.6638,-1
7.0307,1.7705,-1
7.0112,1.8785,-1
7.0028,1.9846,-1
7.0046,2.0890,-1
7.0162,2.1914,-1
7.0369,2.2905,-1
7.0154,2.1923,-1
7.0368,2.2981,-1
7.0650,2.4070,-1
7.0967,2.5105,-1
7.1306,2.6108,-1
7.1651,2.7089,-1
7.1989,2.8066,-1
7.2291,2.9034,-1
7.2571,3.0045,-1
7.2860,3.1112,-1
7.3150,3.2144,-1
7.3454,3.3154,-1
7.3761,3.4151,-1
7.4049,3.5121,-1
7.3757,3.4160,-1
7.4043,3.5122,-1
7.3758,3.4145,-1
7.3371,3.3153,1
7.2919,3.2256,1
7.2386,3.1402,1
7.1725,3.0542,1
7.1006,2.9774,1
7.0239,2.9097,1
6.9430,2.8507,1
7.0252,2.9099,1
6.9442,2.8507,1
7.0264,2.9103,1
6.9464,2.8495,1
6.8555,2.7864,1
6.7652,2.7274,1
6.6753,2.6699,1
6.5860,2.6120,1
6.5015,2.5545,1
6.5855,2.6114,1
6.4966,2.5507,1
6.4088,2.4838,1
6.3277,2.4129,1
6.2533,2.3363,1
6.1864,2.2532,1
6.1298,2.1672,1
6.1834,2.2523,1
6.1243,2.1644,1
6.0608,2.0744,1
5.9964,1.9881,1
5.9315,1.9031,1
5.8668,1.8178,1
5.8063,1.7343,1
5.7509,1.6510,1
5.6936,1.5617,1
5.6345,1.4713,1
5.5736,1.3837,1
5.5092,1.2991,1
5.4391,1.2179,1
5.3648,1.1444,1
5.2857,1.0794,1
5.1966,1.0195,1
5.1014,0.9683,1
5.0035,0.9275,1
4.9029,0.8966,1
4.8000,0.8754,1
4.7001,0.8635,1
4.8029,0.8761,1
4.6950,0.8632,1
4.5924,0.8584,1
4.4869,0.8588,1
4.3785,0.8630,1
4.2781,0.8689,1
4.1781,0.8751,1
4.0747,0.8804,1
3.9735,0.8865,1
3.8673,0.8968,1
3.7654,0.9094,1
3.6584,0.9238,1
3.5570,0.9368,1
3.4523,0.9482,1
3.3517,0.9561,1
3.2443,0.9645,1
3.1418,0.9755,1
3.0418,0.9886,1
2.9356,1.0031,1
2.8342,1.0162,1
2.7279,1.0273,1
2.6244,1.0351,1
2.5246,1.0425,1
2.4135,1.0542,1
2.3139,1.0669,1
2.2085,1.0810,1
2.1080,1.0934,1
2.0036,1.1039,1
1.9011,1.1114,1
1.7969,1.1194,1
1.6956,1.1304,1
1.5820,1.1451,1
1.4775,1.1591,1
1.3666,1.1725,1
1.2643,1.1820,1
