index,latitude,longitude,x_m,y_m,direction,mode,drive_level
0,35.5448828333,129.2551080000,0.000,0.000,1,T_PARK,2.00
1,35.5448833340,129.2551106633,0.241,0.056,1,T_PARK,2.00
2,35.5448836376,129.2551127775,0.433,0.090,1,T_PARK,2.00
3,35.5448843965,129.2551148918,0.624,0.174,1,T_PARK,2.00
4,35.5448851555,129.2551171926,0.833,0.259,1,T_PARK,2.00
5,35.5448862686,129.2551193691,1.030,0.382,1,T_PARK,2.00
6,35.5448869955,129.2551222546,1.291,0.463,1,T_PARK,2.00
7,35.5448872971,129.2551238114,1.432,0.497,1,T_PARK,2.00
8,35.5448877796,129.2551258870,1.620,0.551,1,T_PARK,2.00
9,35.5448882621,129.2551276661,1.781,0.604,1,T_PARK,2.00
10,35.5448886240,129.2551295935,1.956,0.645,1,T_PARK,2.00
11,35.5448891066,129.2551320397,2.177,0.698,1,T_PARK,2.00
12,35.5448896494,129.2551340412,2.359,0.759,1,T_PARK,2.00
13,35.5448896667,129.2551360000,2.536,0.761,1,T_PARK,2.00
14,35.5448899510,129.2551380442,2.721,0.792,1,T_PARK,2.00
15,35.5448905000,129.2551396667,2.868,0.853,1,T_PARK,2.00
16,35.5448911667,129.2551416667,3.049,0.928,1,T_PARK,2.00
17,35.5448915000,129.2551435000,3.215,0.965,1,T_PARK,2.00
18,35.5448917605,129.2551455313,3.399,0.994,1,T_PARK,2.00
19,35.5448923333,129.2551473333,3.563,1.058,1,T_PARK,2.00
20,35.5448929668,129.2551490154,3.715,1.128,1,T_PARK,2.00
21,35.5448940000,129.2551506667,3.865,1.243,1,T_PARK,2.00
22,35.5448950779,129.2551517582,3.963,1.363,1,T_PARK,2.00
23,35.5448965000,129.2551530000,4.076,1.521,1,T_PARK,2.00
24,35.5448976715,129.2551547234,4.232,1.652,1,T_PARK,2.00
25,35.5448983333,129.2551566667,4.408,1.725,1,T_PARK,2.00
26,35.5448993333,129.2551586667,4.589,1.837,1,T_PARK,2.00
27,35.5449000000,129.2551608333,4.785,1.911,1,T_PARK,2.00
28,35.5449000841,129.2551624329,4.930,1.920,1,T_PARK,2.00
29,35.5448999635,129.2551642120,5.091,1.907,1,T_PARK,2.00
30,35.5449001667,129.2551663333,5.284,1.930,1,T_PARK,2.00
31,35.5449007476,129.2551686598,5.494,1.994,1,T_PARK,2.00
32,35.5449015921,129.2551702906,5.642,2.088,1,T_PARK,2.00
33,35.5449021349,129.2551719215,5.790,2.149,1,T_PARK,2.00
34,35.5449023158,129.2551742936,6.005,2.169,1,T_PARK,2.00
35,35.5449020000,129.2551760000,6.159,2.134,1,T_PARK,2.00
36,35.5449021349,129.2551785190,6.387,2.149,1,T_PARK,2.00
37,35.5449026174,129.2551804464,6.562,2.202,1,T_PARK,2.00
38,35.5449028333,129.2551821667,6.718,2.226,1,T_PARK,2.00
39,35.5449028333,129.2551843333,6.914,2.226,1,T_PARK,2.00
40,35.5449028333,129.2551865000,7.110,2.226,1,T_PARK,2.00
41,35.5449030396,129.2551884524,7.287,2.249,1,T_PARK,2.00
42,35.5449035000,129.2551900000,7.427,2.301,1,T_PARK,2.00
43,35.5449041667,129.2551921667,7.624,2.375,1,T_PARK,2.00
44,35.5449045840,129.2551941276,7.801,2.421,1,T_PARK,2.00
45,35.5449048789,129.2551960610,7.976,2.454,1,T_PARK,2.00
46,35.5449053705,129.2551977527,8.130,2.509,1,T_PARK,2.00
47,35.5449061079,129.2551992632,8.266,2.591,1,T_PARK,2.00
48,35.5449066667,129.2552005000,8.378,2.653,1,T_PARK,2.00
49,35.5449070660,129.2552024730,8.557,2.698,1,T_PARK,2.00
50,35.5449079833,129.2552051225,8.797,2.800,1,T_PARK,2.00
51,35.5449087172,129.2552067572,8.945,2.881,1,T_PARK,2.00
52,35.5449095428,129.2552082793,9.083,2.973,1,T_PARK,2.00
53,35.5449104063,129.2552099300,9.232,3.069,1,T_PARK,2.00
54,35.5449115598,129.2552116054,9.384,3.198,1,T_PARK,2.00
55,35.5449126085,129.2552130230,9.513,3.315,1,T_PARK,2.00
56,35.5449134823,129.2552142259,9.622,3.412,1,T_PARK,2.00
57,35.5449141465,129.2552148703,9.680,3.486,1,T_PARK,2.00
58,35.5449148106,129.2552156436,9.750,3.560,1,T_PARK,2.00
59,35.5449155446,129.2552166316,9.839,3.641,1,T_PARK,2.00
60,35.5449162787,129.2552176627,9.933,3.723,1,T_PARK,2.00
61,35.5449170127,129.2552188226,10.038,3.805,1,T_PARK,2.00
62,35.5449180614,129.2552209705,10.232,3.922,1,T_PARK,2.00
63,35.5449191144,129.2552230116,10.417,4.039,1,T_PARK,2.00
64,35.5449201048,129.2552260548,10.693,4.149,1,T_PARK,2.00
65,35.5449213333,129.2552286667,10.930,4.286,1,T_PARK,2.00
66,35.5449223333,129.2552305000,11.096,4.397,1,T_PARK,2.00
67,35.5449235000,129.2552320000,11.232,4.527,1,T_PARK,2.00
68,35.5449246667,129.2552340000,11.413,4.657,1,T_PARK,2.00
69,35.5449253333,129.2552365000,11.639,4.731,1,T_PARK,2.00
70,35.5449260000,129.2552386667,11.835,4.805,1,T_PARK,2.00
71,35.5449265000,129.2552408333,12.032,4.861,1,T_PARK,2.00
72,35.5449268333,129.2552428333,12.213,4.898,1,T_PARK,2.00
73,35.5449275000,129.2552448333,12.394,4.972,1,T_PARK,2.00
74,35.5449280000,129.2552470000,12.590,5.028,1,T_PARK,2.00
75,35.5449283333,129.2552495000,12.817,5.065,1,T_PARK,2.00
76,35.5449286667,129.2552516667,13.013,5.102,1,T_PARK,2.00
77,35.5449290000,129.2552536667,13.194,5.139,1,T_PARK,2.00
78,35.5449295000,129.2552555000,13.360,5.195,1,T_PARK,2.00
79,35.5449296667,129.2552571667,13.511,5.213,1,T_PARK,2.00
80,35.5449301667,129.2552588333,13.662,5.269,1,T_PARK,2.00
81,35.5449305000,129.2552611667,13.873,5.306,1,T_PARK,2.00
82,35.5449306667,129.2552628333,14.024,5.325,1,T_PARK,2.00
83,35.5449314020,129.2552706712,14.734,5.407,1,T_PARK,2.00
84,35.5449321667,129.2552763333,15.247,5.492,1,T_PARK,2.00
85,35.5449326667,129.2552781667,15.413,5.547,1,T_PARK,2.00
86,35.5449335000,129.2552800000,15.579,5.640,1,T_PARK,2.00
87,35.5449340000,129.2552816667,15.730,5.696,1,T_PARK,2.00
88,35.5449345000,129.2552833333,15.881,5.752,1,T_PARK,2.00
89,35.5449348333,129.2552850000,16.032,5.789,1,T_PARK,2.00
90,35.5449355000,129.2552871667,16.228,5.863,1,T_PARK,2.00
91,35.5449363333,129.2552888333,16.379,5.956,1,T_PARK,2.00
92,35.5449370000,129.2552908333,16.560,6.030,1,T_PARK,2.00
93,35.5449373333,129.2552930000,16.757,6.067,1,T_PARK,2.00
94,35.5449375000,129.2552946667,16.908,6.085,1,T_PARK,2.00
95,35.5449378333,129.2552965000,17.074,6.123,1,T_PARK,2.00
96,35.5449373333,129.2552946667,16.908,6.067,-1,T_PARK,2.00
97,35.5449368998,129.2552931785,16.773,6.019,-1,T_PARK,2.00
98,35.5449363333,129.2552911667,16.591,5.956,-1,T_PARK,2.00
99,35.5449355574,129.2552897799,16.465,5.869,-1,T_PARK,2.00
100,35.5449350259,129.2552881957,16.322,5.810,-1,T_PARK,2.00
101,35.5449340720,129.2552866045,16.177,5.704,-1,T_PARK,2.00
102,35.5449331180,129.2552850552,16.037,5.598,-1,T_PARK,2.00
103,35.5449326070,129.2552835478,15.901,5.541,-1,T_PARK,2.00
104,35.5449321981,129.2552820404,15.764,5.495,-1,T_PARK,2.00
105,35.5449315000,129.2552800000,15.579,5.418,-1,T_PARK,2.00
106,35.5449305363,129.2552783742,15.432,5.310,-1,T_PARK,2.00
107,35.5449299155,129.2552769320,15.301,5.241,-1,T_PARK,2.00
108,35.5449295000,129.2552751667,15.141,5.195,-1,T_PARK,2.00
109,35.5449291667,129.2552735000,14.990,5.158,-1,T_PARK,2.00
