steering_deg,direction,adc
-22,RIGHT,78
-21,RIGHT,96
-20,RIGHT,114
-19,RIGHT,132
-18,RIGHT,150
-17,RIGHT,168
-16,RIGHT,186
-15,RIGHT,204
-14,RIGHT,222
-13,RIGHT,240
-12,RIGHT,258
-11,RIGHT,276
-10,RIGHT,294
-9,RIGHT,312
-8,RIGHT,330
-7,RIGHT,348
-6,RIGHT,366
-5,RIGHT,384
-4,RIGHT,402
-3,RIGHT,420
-2,RIGHT,438
-1,RIGHT,456
0,CENTER,474
1,LEFT,492
2,LEFT,510
3,LEFT,528
4,LEFT,546
5,LEFT,564
6,LEFT,582
7,LEFT,600
8,LEFT,618
9,LEFT,636
10,LEFT,654
11,LEFT,672
12,LEFT,690
13,LEFT,708
14,LEFT,726
15,LEFT,744
16,LEFT,762
17,LEFT,780
18,LEFT,798
19,LEFT,816
20,LEFT,834
21,LEFT,852
22,LEFT,870
